,text,mbti
79,얘들아 너네들은 꼭 해야하는데 귀찮은 일이 있으면 어떻게 해,enfp
80,귀찮아도 할 건 해야지,istj
81,일단 그 일을 왜 하는지가 더 중요하지 않음?,intj
82,그거에 따라 하고 안하고가 결정 날 듯,intj
86,저녁이라 대화가 많이 없겠죠??,istj
87,네 그래도 낮에는 사람들 많으니깐 대화 많이 하실거예요,isfj
88,나 열쇠 잃어버렸는데 어떡하지,esfp
90,집 열쇠가 없으면 오늘 밤에 집에서 잠 못잘테고 잠 못자면 다음주 시험 잘 못볼테고,enfp
91,시험 못보면 원하는 대학 못가고 원하는 대학 못가면 좋은 직장 못갈텐데 어떡하냐 ㅠㅠ,enfp
92,아 뒷주머니에 있었음 ㅋㅋ 긴 글 쓰느라 고생했다,esfp
93,오 다들 안 주무시고 머 하고 계세요??,enfj
94,지금 프랑스에 있어욤,entp
96,님 독일에 계신다고 하지않으셨나요,enfj
97,독일에서 프랑스로 갔어요??,enfj
98,세계질주하셔용!?,estp
100,친절하게 알려 드렸는데 절 거부하셨군요 당신은 나뽰습니닼,enfj
104,너무 톡이 많이와서 다 못읽을땐 읽기포기라고 하는고에여,enfp
105,ㅅㅂㅍ ㅇㅍ 이런것처럼여의!,enfp
106,이건 뭐예요? ,enfj
107,삼백플 읽포라고 하는건데,estp
109,300+ 일때 쓰는거에요,enfp
110,앗 늩었다ㅋㅋㅋ,estp
111,ㅠ 나 나이 먹겄나바 나땐 이런거 없었는데  즐인말이 있긴했지만... ,enfp
113,한수 배워 갑니다 ,enfj
114,후후 출발해 볼까나? ,enfj
118,룸메들은 방금 바보만 성적표 다 통과했다고 비웃었어요...,infp
119,그들은 스스로 낙제하고도 남을 비웃어요...,infp
120,그들은 내가 러시아어 못 알아듣는 것을 알고 영어로 나를 비웃었어요... ,infp
121,다들 좋은 아침입니다,infj
123,저 오늘 의자사야해요,esfp
124,전 그냥 집에서 띵가띵가 놀거같아여><,istj
126,노는것도 실력인 세상이 되버려서,isfj
127,띵가띵가 놀더라도 목적을 정하고 노는걸 추천드려용,isfj
128,그냥 숙제나 해야져....,istj
129,"엄... 티비보고,자고,먹고......? ㅋㅎㅋㅎ",istj
130,노는것도 실력이져...,istj
131,혹시... ​너무 스트레스 받지 말고 어제 일 때문에 실망하거나 서운해 하지 말고 모두 다 잘될 거라고 믿으세요 ​음... 사실 지금 아직 안 잤어요~ㅎㅎㅎ,infp
132,지금 4시08분... ㅎㅎㅎ,infp
133,? 지금 10시 9분인데...?,istj
134,모스크바에서 유학해요,infp
135,여긴 2시13분요 매~직 모어먼트~,esfp
136,여기는10시14분이에요~,isfj
137,오 저랑 같네여,istj
138,네 제주도에있어요,isfj
140,넘나 심심한것..,istp
146,특히 저 고기가..,esfp
148,헐 우리는뷔페옴,isfj
149,부러워여 ㅜㅜ 전 공부,istj
152,엄청 맛있어보이네요,enfp
155,왤케 잘나와요 양 짱많네여..,esfp
156,넌 대학 정시로 가 난 수시로 너 생각 할게,enfp
157,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 재밌다 ㅎㅎ,infj
158,지나가다 나방을 잡았어 너에게 빠졌나방,enfp
159,ㅋㅋㅋㅋㅋㅋ 갑자기 왜 그런거 찾아보고 있어 귀여워,infj
160,아무거나 가르킨게 아니라 돌탑이 어딨는데,estp
162,저건 돌탑이 아니라 돌 무더기야,estp
163,아니야 누가 소원빌려고,estj
164,자기 오늘 빼빼로 데이네,entp
167,근데 그런거 다 상술이야,istp
168,ㅇㅈ 커플이 이야기하면,entp
171,개피곤 12시에 자서 7시에 일어남,isfp
173,ㅋㅋㅋㅋㅋㅋㅋㅋ,isfp
174,난 6시 반에 일어났어,istp
175,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 킹받네 이런..,isfp
176,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ.,istp
178,이거 제보할까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,istp
179,짜증나 너 ㅋㅋㅋㅋㅋㅋㅋ,isfp
180,웅 할게 고마워,istp
181,웅..ㅋㅋㅋㅋㅋㅋ 존나 웃기네,isfp
182,나 너무 힘이 없어,isfp
183,온몸에 근육통 때문에,isfp
185,하루를 자지 말고 맞추면 되지 않을까,enfp
186,미친 생각 박수,intp
187,야아아 박수 받으려고 한 생각은 아닌데에~,enfp
188,감사합니다 감사합니다~ 다 여러분 덕분입니다~,enfp
189,ㅋㅋㅋㅋㅋㅋㅋㅋ,intp
190,ㅋㅋㅋㅋㅋㅋㅋㅋ,enfp
191,나 언니 집 앞이야,isfp
192,어딘지는 알아? 집 주소 모르잖아,entp
195,걍 혼자가 최고야,intp
196,그래도 심심하자노,enfp
197,휴대폰과 침대만 있다면 심심하지 않아요,intp
201,hoxy.. 내가 저러니..?,esfp
203,이게 어딜봐서 나야아,esfp
204,애교 무슨 일이야,infp
205,애교 아님 나야 임데 아 가 쳐졌길래 지우기 귀찮아서 그냥 보내게 된거임,esfp
210,맨날 이랬으니까 ㅋㅋㅋㅋㅋㅋㅎㅎㅋ,enfp
212,아니 어케 집중이 돼??,enfp
213,난 망하는디 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,enfj
214,몰아치기 함 무서웡,enfj
215,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,enfj
216,난 그럼 셤 공부하러.. 내일 시험이다..,enfj
218,잠만 설마 벌써부터 공부를??,enfp
219,나 어제 시험본다고 하루종일 소문 내놓고 공부 ㄹㅇ 오늘 시험보기 1시간전 시작함,enfp
220,아까부터 했는데 지금 밥 먹어서 잠깐 쉬는중 ㅋㅋㅋㅋㅋ,enfj
221,어제 책펴놓고 책상에서 핸드폰...,enfp
222,나 오늘 시험보기전에 단어 허겁지겁 외우고 봤는디,enfp
226,근데 나 낼 시험인데 ㅋㅋㅋㅋ,enfj
230,그럼 모두모두 화이팅!!,enfj
232,감정이요? 할말이 많네요,isfp
233,할 말이 없습니다. 다음주제 가져오시죠,entp
234,일단 감정이란 것은 인간의 마음이 어쩌구저쩌구...,isfp
235,머라노 감정은 효율성의 적이다,entp
236,효율성의 적? 그럴 수 있지 하지만 우리가 일상을 생활해 가는데 있어 반드시 지녀야 할 하나의 매개체라고 할 수 있지,isfp
239,어디가서 뭐할지는 대충 정할 수 있잖아,infj
240,오사카 가서 놀기,entp
241,그딴거 말고 어디어디를 가고 그런거 말야,infj
242,암튼 오늘 자기전에 플랜을 다 짜봐야겠어,infj
243,역시 제이 놈들 목적지만 정하면 발 닿는대로 가면 될 것을,entp
244,이래서 피 들이란.. 대책이 없어 아주,infj
245,사람이 계획에 맞춰 살면 인생이 무슨 재미니,entp
247,그러니까 니 맘대로 살아야지,entp
248,낼 당장 뒤질지도 모르니까,entp
250,격하게 해줘.. 나의 기쁨에 동조해줘...,entp
251,응응!! 시발응응!!,infj
252,시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭐이런 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,entp
253,기빨린다 진짜...,infj
254,내가 친구라서 행복하지??,entp
256,복권 사야되는데 쓰앙,isfj
257,토요일에 해봐야지,isfj
259,나 되면 얼마줄거야?,enfj
260,S는 되기전에 그딴거 생각 안 해,isfj
261,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,enfj
262,낼 시험인데 지금 한장 반 남았어요,enfj
264,"저희 학교 오늘 한라봉주스, 콘크러스트피자, 한우떡국, 후라카케 주먹밥, 깍두기 나와써용",estp
265,우리급식보다 잘나왔내 우리학교급식은 채식밖게 안나왔는데...,infp
266,저는 계란후라이 김자반..끝,istp
267,헥헥 오늘 실수함 ㅠㅠㅠ,infp
268,실수해서 혼남??!!!,esfj
269,오 입사 첫실수 ㅊㅋ!,entj
270,들킴? 안들켰으면 괜찮아,isfp
271,봐봐 너도 내가 있어야 해,isfp
272,나도 마찬가지고,isfp
273,아니 너는 내가 필요해,isfp
274,나도 너가 필요해,isfp
276,그런 말 한적 없는데,intp
277,연락이 중요한게 아닌거 같은데 중요한가?,intp
278,"아,, 응,,,",intp
279,그런 거 왜 해...,istp
280,이새끼 또 발동거네,intj
281,입병은 다 나아써?,intj
282,그건 사랑이 아니라 약이야,intj
283,언니가 준 사랑 바르고 나았지요,enfp
284,약의 껍데기를 뒤집어 쓴 사랑,enfp
285,룸메수업에 너무 많이 결석해서 성적표에 낙제점을 받았어요 그는 내 성적표 모두 우수한 것을 보고 불공평하다고 느꼈고 우리 학교 느슨하다고 생각해요,infp
286,근데 전 결근 기록이 전혀 없어요... 숙제도 꼬박꼬박 잘 마쳤어요...,infp
287,그렇다면 룸메이트 분이 잘못한거네요 러브님 너무 속상해 하지 마세요,infj
289,전 샤워하러 고고띵,infp
290,근데 나 꼭 신기한게 애들을 만나면 꼭 대화주제가 인간성 대인관계 자아 세상살이 이런거에 대한 고찰로 이어지는 경우가 잦음 인프제 특인가,infj
291,그거 그냥 인생이 좆같아서 아닐까,istp
294,몇 분 남았어?,infj
296,아니 혼자 오면 안 되니?,infj
297,416타고 가려고,intp
298,4분.. 내려오게...???,intp
300,쟈기 꽃놀이 다녀와쏘??,enfp
301,여기 꽃 넘 이뿌게 폈는데 오늘 비와서 싹다 떨어졌지 뭐냐,enfp
302,쒸바.. 현명한 베이비,enfp
303,비올 줄 알고 예보 보고 그 하루전에 갔다옴,intj
305,그래라 합리화 하면 가치는 있지,intp
307,별 보러 가고 싶다,infp
309,수업 몇시에 끝나?,istj
310,고기 구울건데 늦네?,istj
311,냉면 할꺼라 시간 맞춰야해,istj
312,난 지갑이랑 내 몸매랑 바꾸고 싶어 그럼 뼈만 남겠지,entp
313,ㅋㅋㅋㅋㅋㅋㅋㅋ 발상 찐 웃기네,infp
314,얼른 자 귀신 꿈꿔라 ㅋ,istp
315,? 나는 그런 꿈 안꿔,esfj
316,아이 하지 말라고 나 잔다,esfj
318,난 이미 자는데,istp
319,와앙 내일 축제에요!!,esfp
320,그다음은 합창대회라 논다용 꺄아아 너무조타아아,esfp
324,아!! 너무 간단하자나 우씨이이이!!,esfp
325,나중에 길게 보내놓으삽 흥!!,esfp
327,과제가 다시 생겨났어 으..,isfj
328,지겨워 ㅠㅠㅠㅠㅠ,isfj
329,오늘까지 강의 들어야징,isfj
333,표정 좀 집어 치워봐,estj
334,수요일에 어케 출발 할겨,estp
335,화욜에 올때 로또좀 ㅋ,estp
336,나 화욜 오후에 집갈겨,istp
337,"엥? 우리 숙제 있었어.,.?",infp
338,헉~ 과제 안했어? 내가 도와줄게,isfj
339,ㅋㅋㅋㅋㅋ 나도 안함 ^^,istp
341,어우 깔끔하시네요,infj
342,쇼핑이 끝났네여,enfj
343,훼밀리마트는 저 주변에 없어서 머가 맛있는지 모루겠네영,infj
344,머하구 있으셨어용,infj
345,ㅋㅋㅋㅋㅋㅎㅎ..극과 극 ㅠㅠ,infj
346,엇 저 노래 들으면서 게임 하구 왔어요,enfp
347,님은 머하구 계셨나요??,enfp
348,ㅋㅋㅋㅎㅎ..저는 사무실 컴퓨터 앞에 앉아서 PC카톡 중이에용 ㅎㅎ..,infj
349,저는 1월달에 서울 한번 더 가려고 지금 생각 중입니당,entp
350,빨리 퇴근하구 싶네용 ㅎㅎ,infj
351,혼틈 노래추천이요!,intj
352,구냥 오랜만에 홈런볼 샀어여,estp
353,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저와 같은 컴퓨터 앞.. 다른 느낌이네요...,entp
354,그거 반 정도 먹다가 도저히 못 먹겠어서 버렸어요,intp
355,??왜 버려요 ㅠㅠ,isfp
356,꼭 우유가 아닌 커피랑 드시는걸 추천드려요,intp
357,속이 엄청 느끼하더라구요,intp
358,단거 못 먹는구나…!!!,esfp
359,저는 혼자는 다 못 먹고 반 나눠 먹거나 3분의 1로 나눠야 해요,isfp
360,쿠앤크는 아직 안 먹어봤네요,isfp
361,"저 마카롱도 많이 먹으면 1개에요,,",istp
362,새로 나왔어여 ?? 홀...,isfj
363,저는 요즘 옥수수크림빵 맛에 빠져있는데,infj
366,대박 .... !!!!!!!!!!!!!,infj
367,근데 탕후루가 3~4천 원인 거 생각하면,isfp
368,탕후루 너무 비싸요,istp
369,2500원만해도 충분할거 같은데,istp
370,저도 사고싶은거 겨우 참았어여ㅎㅎ,intj
371,특히 블루베리는 진짜 너무한 거 같아요,isfp
374,화장실이 마려워요,intj
375,수면안대도 없고 화장실도 없어요,intj
377,조금씩싸서 말려요,istp
378,진짜 열심히 먹었는데 반 밖에 못 먹었어요,intp
379,저 f같은t에요,istp
380,ㅜㅜ 왜 지지에여 !!,infj
381,F라면 그런 감성 없어~!!!!,intj
384,화장실이 없나요,estp
385,다 맛있더라구요 전 말차가 젤 조아요,isfp
386,다 먹진 못했지만..동생이랑 나눠먹었졍 ㅎㅎ,infj
387,무슨일이에요 이게,istp
389,이게 무슨 일이야 이렇게 좋은 날에~ 세상 행복했졍 ㅎㅎ,infj
390,아주 달콤하고 만족스러운 시간이었어여,infj
391,아니 지금 딱 3시간 더가야된다구요,intj
392,운동은 한번 안가니까 정말루 가기가 싫네영,infj
393,이게 무슨 f얔ㅋㅋㅋㅋㅋ,intj
394,배드민턴 치고싶어요,intp
395,왜 제마음 공감못해주세요?,istp
397,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,istp
398,맞아요 운동은 다시 가기가 힘들어요,istp
399,겨울이라 뭔가 더 나가기 싫네여,intj
400,누워있는게 최고에요,istp
401,이 소리들으면 오줌 잘 참을수있죠ㅋ,istp
402,이제 아부지랑 장보러 갈 거에요,isfp
403,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저도 귀찮네오,,",istp
404,저녁 거리랑 이것저것 살 거 같아요,isfp
405,???: 아니 얘가 저녁거리는 안 사고 과자만 골랐어,isfp
406,오뚜기 컵피자 드셔보셨나요??,istp
407,"드셔보세여!! 눈이 뜨입니다,ㅡㅡ",istp
408,비엑스에 아주 싸게팔쥬,estj
409,절대 헷갈리지 않고 님 t죠? 시전했을듯,intj
410,송강 진짜 잘생겼네요,enfj
411,저는 아마 못 참고 스피커 찢을거같은데요...,entp
412,휴우 다행이네여,infj
414,오전 6시 50분 출근이였습니다,entp
416,빨리 퇴근하세요...,intp
417,이미 퇴근하고 기숙사 왔어요,entp
418,오늘내일 시켜드십쇼,istp
419,아 제발려 인상 다메요...,entp
421,진짜 제 월급빼고 다오르네요,isfj
423,뿌링클 순살 가격도 같이 오르면 24000원이네요..?,intp
424,근데 순살은 포기 몬해,entp
425,뿌링클은 순살로 먹어야하는뎅.. ㅜㅜㅜ,intp
427,BHC 어제 8시 뉴스에 나오던데.. 본사에서 멋대로 가맹점 계약해지해서 3억5천 과징금 물었다고 하는데 너무 솜방망이 아닌가요,intp
428,오늘 뿌링클먹을려했는데 취소해야겠근요,esfj
429,뿌링클보단 맛초킹이...,estp
430,흠 어쩔 수 없네요,istp
431,오늘 bhc 시켜먹어야겠네요,istp
432,뿌링클 요구르트 소스가 진짜 맛있어요,intp
433,오늘 내일 뿌링클시킵니다,esfj
434,29일부터 인상이래요,isfp
435,집 앞에 bhc있는데,estp
436,아 오늘 집바벅으려 했는데 할 수없네요,isfj
437,네넹!! 오랜만에 놀았네요ㅎㅎ 저 나중에 부산 놀러가면 미리 연락드릴게여,isfj
438,헉 네오님 저도 보고싶어요,isfj
439,어 저 달력받었어요 5마넌이상 사면 준데요 ,enfj
440,저도 1시간이면 갈거에요,esfj
441,40km면 갈만한데요,istj
442,아 고터.. 멉니다요ㅜ,intj
443,귀찮으니깐 택시를 타고 가겠습니다,entj
444,부산투어인가요!,intp
445,부산가먄 랍스터텐동꼭 드세용,esfj
446,같이 가이드하면 되겠네영용,infj
447,학교근처밖에 모르지만 최선을 다해..ㅋㅋㅋㅋㅋ,intp
448,"샤로수길 한 번 가야하나,,",intp
449,갑자기 텐동 먹고싶네요,intp
450,저 동네밖에 몰르지만.. ! ,infj
451,맛집이 많은 곳이에요,intp
452,민락더마켓가시면 푸딩드실수있어요!,esfj
453,1월달 중에 서울 한번 더 놀러갈거같긴한데,entp
454,앗 마자요 아이폰은 없더라구요,isfj
455,pc카톡은 가능하지 않아요?,intp
456,전 찾아주는 사람이 없어서 키알을 안했어요,istp
457,빨리 결과가 나왔으면 좋겠네영,infj
458,상대방 성향 찾아서 올리는것도 도움되고 재밌네요,istp
459,bhc치킨인상한데,istp
460,집중하기 좋으면서 별 생각 없이 들어도 괜찮은,estp
461,좋네요 하지만 저랑은 잘..,estj
462,표정 풀어요... 전봇대랑 움뫄뫄보단 낫잖아요...,entp
463,걱정에 힘입어 고개만 살짝들어보겠습니다,istp
464,이 노래 들어보고 피드백 주세요. ,intp
465,앜ㅋㅋ궁금한데 아쉽군영 ,intj
466,물가만 치솟네요...,entp
467,뿌링클 가격 오르면 손절 각인가....,entp
468,어쩔 수 옶네요 푸라닭으로 갈아 탑니다,istj
469,월급은 안오르고,estp
470,하찮고 귀엽고 그러네여,infj
471,굉장히 차분하시더라고요,istp
472,1 + 1 == 2 아닌각 생각했어요,istj
473,대학원생이신가요 ㄷㄷㄷ,istp
476,오 대학원생이시군여,istp
477,척척박사까지 가시죠,istp
478,안녕하세요 제가 그 유명한 도비입니다,istj
481,저도 컴공 대학원갈까 생각중이었는데,istp
482,스승님 방근 사진 찍은 거 보셨나욬ㅋㅋㅌㅋㅋㅌ,enfj
483,ㅠㅠ그전에 먹어둬 ,istp
484,문제 출제 생각중이에요 ,intj
485,봤어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,istp
486,얻어맞으신 줄 알았잖아요,istp
487,창문이 아니네요,isfj
488,저두여ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ레피님 항상 행복하셔야 해여ㅠㅠㅠㅠㅠㅠㅠ,isfp
490,곰사합니다 역시 로봇으로 살기를 잘했어요,isfj
491,변화구 안쓰셨네요,isfj
492,오랜만에 시 올려봐요,enfj
494,이번엔 정답이네요,intp
496,밖에서 너무추워서 ㅋㅋㅋ,enfj
498,역시 1+1은2죠,istp
499,이제 2임을 증명하시나요?,istp
501,거의 두 달만에 보는 거 같아요,enfj
2,이제 이분은 배우,istp
4,뉴욕 안 갔어요,istp
5,그리고 이분은 이제 인형! 눈도 붙이고 이거 (인형) 꼬매기도 하고,istp
6,그리고 보드게임 굉장히 좋아하시고 그리고 'I' 중에서는 여포지만 'E' 한 명 등장하는 순간 바로 유선,istp
7,어 그럼 그럼. 바로 기 빨리지,intp
8,이분은 이제 대학생인데 국어국문학과,istp
9,뉴욕? 다 뉴욕파라고? 어 눈이?,entj
10,눈이 몰리고 있어 어허 이 양반.. 어허 눈을 가지고 놀아,entj
11,내 눈을 안 보고 자기 눈을 보면서 가지고 놀고 있어,entj
13,"INTP님, ENTJ님 오시자마자 바로 그냥",istp
14,눈치를 많이 보는 게 관찰이 되어버렸어요,esfj
15,"회사 갔을 때도, 네?",entj
16,이제 가셔야 되겠다,istp
17,어떡해 아쉬워요,isfj
21,호감도를 다 같이 하는 건가?,istp
22,나 무서워 같이 있어요,isfp
23,나 떨려 몇 시까지?,isfp
25,9시까지. 어디 가세요?,istp
28,잠깐 마음의 준비를 하려고요,isfj
30,근데 우리 여기 있어도 될 것 같아요. 저기서 올 거거든요. 어차피 제 생각에는.,istp
31,맞아. 전략적이네 .,entj
33,저희가 가야죠?,enfp
34,오라고 할 순 없잖아요,estj
36,이건 E가 가야지 참을 수 없지,esfj
38,혹시 우리 잘못 이해한 거 아니지?,enfp
40,어 머리가 왜 이래?,esfp
41,다들 굴러서 들어오시는 거 아니에요?,istj
42,안녕하세요 들어오세요,istp
43,여기 E가 계신데?,enfp
46,어차피 오실 거 알고 우린 안 움직였어,istp
49,오셨다 우리 INFP님,istp
50,어땠어요? 괜찮았어요?,istp
51,오우 여기 남성분들이 많으시구나~,esfj
52,우리 똑같이 4 대 4예요,istp
55,아~ 안 계시구나 다,esfj
56,아 지금 마음의 준비한다고 올라가셨어,istp
58,아이고 고생하셨어요,istp
59,신기하다 여기 구조가 똑같네,enfp
60,우리 벌려서 앉을까요?,enfp
61,우리 좀 앉을까요?,esfj
63,아 신기하다 진짜,enfp
64,드디어 만났다 우와,enfp
65,"아니 내가 ""갑시다!"" 이러는데 ""안 가도 될 것 같아요"" ""어차피 오실 거니깐"" 이러더라고",entj
66,맞잖아요 다 왔잖아요,istp
67,진짜 그것처럼 딱 오니깐 너무 신기하더라고,entj
68,ISTP.. 아! ESTP 누구예요?,istp
70,비슷해요? 저랑?,istp
72,저 ISTP예요,istp
73,난 내 짝지 찾았어,entj
74,각자의 짝지.. 앞에 성향만 다르고 각자의 짝지 한번 보세요,entj
75,짝지끼리 앉아볼까요? 어색하게 난 괜찮아,entj
76,오빠 살아계셨네 살아계셨어,esfj
77,근데 둘이 성향이 진짜 비슷하다 나는 다 봤으니깐,entj
78,NFJ는 키도 다 큰가봐요,istp
79,그렇기도 하고 이분도 여기 배려왕이야,entj
81,배려 엄청 잘해,entj
84,저분이 생각보다 되게 젠틀하고 배려를 엄청 잘해요 약간 왁자지껄할 거라고 생각했는데 근데 느낌이 되게 비슷해,entj
85,아니 근데 우리가 주인 같아 이러고 있으니깐,entp
86,앉으시면 안 돼요? 근데 여기 오세요,entp
88,들어오세요 죄송해요 저희 안 물어요,enfp
89,저 인생 살기 귀찮으면 ISFP 되는데,esfp
91,맞죠? 맨날 누워있고,esfp
92,불편하지 않아요? 갑자기 이렇게...,esfp
93,아직 낯가림이 있어가지고,isfp
95,내일이나 뭐 바뀌면 만날 수 있지 않을까요?,enfj
96,바뀌면 저희는 거의 쭉 계속,infj
97,아 그런가? 아 오늘만 오늘만 다른 거니까?,enfj
98,그럼 둘만 일만 하고 있겠네요 일 계속 한다 하고,enfj
100,저 정말 노력하고 있거든요,entp
102,또라이처럼 안 보이려고,entp
103,아~ 전 또라이처럼 보이려고 노력했어요,intp
105,좀 밝아 보이려고 저 지금 많이 기 빨린 상태라서,intp
107,제가 원래 여러 명이랑 노는 거 4시간 이상 못하거든요,intp
108,근데 지금 이제 보통 만나면 집에 가야 되는 시간인데 갑자기 ENTJ님 와서 왁 하고,intp
109,보통 힘든 게 아니시겠네요,entp
110,약간 기 빨려서 원래 3시간 놀았으면 집에 가야 되는데,intp
111,저는 근데 쉰다고 생각하고 왔거든요,entp
113,저는 여기 거의 군대 입대하는 느낌으로 왔는데,intp
115,좀 뭔가 그러고 처음에 생각 안 했어요?,estj
116,나오면 저희 성격상 뭔가 싸울 수도 있을 것 같다는 그런 생각 하셨었어요?,estj
118,저는 제일 궁금했거든요 ISTJ,estj
119,뭐 하긴 했어요 워낙에 좀 STJ가 되게 약간 젊은 꼰대라고 ,istj
121,틀딱이라고 그런 얘기 자기 고집 세고 그래가지고,istj
122,같은 STJ끼리 '어 이게 맞을까' 이런 생각은 했었어요,istj
123,처음 보는 사람 만날 때도 많이 말하세요?,estp
124,상대방에 따라 달라요,istp
126,그런 사람 있잖아요 아무리 친해져도 어색한 사람 있잖아요,istp
