ESTP,"그러니까 사실 이거 처음 할 때 일타강사도 어떻게 보면 인기가 필요한
직업이잖아요 저희가 그냥 잘 가르치기만 해서 그냥 학생들이 몰리는 건 아니니까 그래서 인기라는 게 사실 제가
무조건 열심히 한다고 해서 되는 건 아니니까 그래서 이제 그런 부분에 대해서 좀 고민이 있었던 것 같아요",,
ISTJ,어 맞아 내가 컨트롤할 수 없는 부분에 대해서 이제... 확신이 없으니까 거기서 스트레스가 오는 거지,,
ESTP,아 사실 뭔가를 해결책을 받고 싶어서 말한 건 아니었고 그냥 이런 게 좀 고민이다 정도?,,
ISTP,이건 그냥 F한테 얘기를 했었어야 됐네,,
ESFJ,"할까요? 나는 사실 이 중에서 제일 길 거 같긴 한데 난 좀 심오해
그니까 나는 개인사정이랑 좀 섞여있긴 한데 어 약간 울컥할라 그러네
영향력이 있는 사람이 되어서
나중에는 기부재단을... 설립하고 싶은데 아직은 제 스스로가 부족하다고 느껴요
이게 어릴... 때부터 그냥... 좀... 뭐라 해야 되지?
목표.. 중에 하나라고 해야 되나? 그니까 음…
내가 뭔가 뭐 연예인이 됐든 뭐 유명한 사람이 됐든 어쨌든 뭔가
영향력 있는 사람이 되어서 이제 기부재단을 좀 설립하고 싶은...
그런 꿈이 있어요 저는",,
ENFP,아니 ㅎㅎ…,,
ESFJ,우는거야?,,
ENFP,아니 내가 눈을 돌리려고 여길 봤는데 이미이렇게 하고 있는 거야,,
ESFJ,눈물이 차올라서 고갤 들어,,
ESFJ,"나는 남부러울 게 없었어 되게 좋은 집안에서 자라서
진로를 선택하는 데도 그렇게 큰 어려움이 없었어 내가 고등학교 때?
힘든 친구들을 보면은 그런 친구들은 대부분
꿈이 없더라구 꿈을 맘대로 꾸지도 못하고 그냥... 포기를 해버리는 게 너무 불쌍한 거야
그러니까... 불쌍하다기보단 안타까운 거? 저들도 기회라는 게 있는데
기회조차 주어지지도.. 내가 뭔가 도움을 자꾸 주고 싶은 거야
그래서 그때부터 나는 이제 기부를 하기 시작을 했었어",,
ENFP,잘 하고 있는데 왜 그게 고민이야,,
ESFJ,"어... 영향력 있는 사람이 되어야 된다고 생각해 막상 밖을 나와 보니깐 대단한 사람들이 더 많고
그런 걸 보니까 난 진짜 너무 작구나 내가 이걸 하고 싶은데 이게 될까? 이런 생각이
자꾸 물음표가 자꾸 생각이 나는 거야",,
INFP,근데 이렇게 얘기를 해서 이게 또 만약에 편집돼서 나가는 것조차 선한 영향력을 끼치는 게 아닐까,,
ISFJ,"세상에는 진짜 생각보다 내가 성장할 수 있는 기회가 진짜 많은... 것 같다고 살면서 계속 느꼈어요
지금 당장의 영향력이 없다고 슬퍼하기는 너무 이르지 않나",,
ESFP,"근데 나는 언니같은 사람이 있어서 너무 좋은 게 이렇게 부유한 집안에서 자라서 그냥 잘 살고
내가 잘 살다 죽으면 되겠지 하는 사람들도 있는 반면에 언니처럼 생각하는 사람들도 있어서
세상이 뭔가 조금씩 더 좋아지고 있는 건 확실한 거 같아 이대로의 마음으로만 계속 간다면
충분히 뭐든지 해내 갈 수 있을 것 같다는 생각",,
ENFP,맞아 맞아 아~ 정리 잘했다~,,
ISFP,맞아 맞아 맞아,,
INTJ,저는 고민이 없어서 고민이라고 적었는데 스트레스가 좀 있어야지 사람이,,
ISTJ,삶의 원동력,,
INTJ,"네 과도한 스트레스는 안 좋겠지만 저는 그게 약간 동력이 된다고 생각하거든요 발전을 하는데 근데 스트레스가 없으니까 의식적으로 항상 해야 돼요
제가 발전을 하고 싶으면은
",,
ENTJ,"아 근데 나는 완전 똑같잖아 성향만 다른 거지 나도 고민이 없어요야
완전... 알고리즘이 똑같아 그래서 하루 목표치를 무조건
정해놓고 그걸 무조건 해",,
INTJ,저도요 그래서 저도 하루 단위로 쪼갰어요 ,,
ENTJ,"그래서 유튜브를 처음 했었을 때도
1일 1콘텐츠 무조건 한다였어 운동도 절대 빼먹지 않는다였어 그리고 그걸 무조건 했어
과학적으로
운동을 해봐라라고 추천해 주고 싶어 운동을 하게 되면 스트레스를 맨날 받아 그게 내 몸만큼 정직한 게 없거든",,
ESTJ,그러면 혹시 반대로는 뭐 말씀하실... 고민 없다는 거에 대한 반대로,,
INTJ,"일단 더 들어보고 싶어요 얘기를
고민이 없다고 얘기하셨을 때 어떤 얘기를 하셨는지",,
ENTJ,"당연히 먼발치에 고민은 분명히 있어
결국엔 내가 노력해서 발전하지 않는 이상 쓸데없는 고민이야 이건 또 그니까 버리기 연습을 굉장히 잘하는 스타일인 거예요 고민이 없다고 하는 게 맞는 말인 거야 나한테는",,
INTJ,진짜 소름 돋는다,,
ENTP,둘이 어쩜 그렇게 닮았어?,,
ENTJ,엄청 닮았어 나 그래서 깜짝깜짝 진짜 너무 많이 놀래,,
ENTP,너무 신기해 고민도 똑같아 ,,
INTJ,이거를 말할 사람이 있을 거라고는 생각을 못 했는데..,,
ENTJ,어 나 이런 대화가 너무 즐거워,,
INTP,응 나도,,
INTJ,생산적인 거 다들 좋아하죠,,
ISTJ,의미가 있어야 돼 모든 행동에 모든 말에 의미가 있어야 돼,,
ENTP,영양가 있고,,
ISTJ,생산적이지 않은 게 너무 싫어 시간 아까워,,
INTJ,생산적인 게 진짜 중요해,,
INFJ,"앞날에 대한 고민이 많아요 작품을 만들어야 한다는 압박감이 있어요
노력은 하고 있지만 확신이 없어요 고민을 이렇게 많은 사람...들 앞에서 말해 본 적이 없어서...
전 항상 속으로만 생각을... 해가지고 뭐 한다 국악을 한다고 하지만
이제 공연이 계속 들어와야 계속 일자리가 있는 거고 저는 또 소속사나 이런 것도 없어서
되게 불안하더라고요 ",,
ENFP,최종적인 목표가 뭐였어요?,,
INFJ,"최종적인 목표요? 국악을 저의 베이스로 쌓아서 제가 하고 싶은? 좋아하는 음악을 좀 만들어서 해보자 라는 게 솔직히 꿈이거든요 아니 제 전공이 너무 하는 사람이 없어서 네 막 판소리나 이런 건 많이 하시는데 다 수익이 없으니까 한 3,40대 돼서 다 다른 거를 해요 그래서 다 이렇게 선배들이 없어져가지고 점점점 멸종 위기종 같은 느낌?",,
ENFJ,너가 있는데 왜 너가 있으면 된 거지,,
INFJ,뭐 그렇긴 한데... 그래서 저도 앞날에 대한 어떻게 해나가야 되나,,
ESFP,스윗해 너만 있으면 되지 뭐,,
ENFJ,그럼 하면서 제일 힘들 때가 어느 때야?,,
INFJ,"뭐 일단 이렇게 막연함이 매일매일 드는 게 조금 힘들고 만약 만들어서 발표를 딱 했어도
아무도 안 들어줄 거라는 걸 뭔가 좀 짐작이 되니까
그래서 또 갈등도 되네요",,
ENFJ,"아니야 우리 앞에서 불렀을 때 너무 좋았어
진짜 집중해서 보게 됐고",,
INFP,맞아요 저 진짜 깜짝 놀랐어요,,
ESFJ,난 못 들었지만 왠지 좋았을 것 같았어,,
ESFP,난 마음으로 들었어 개 쩔던데요?,,
ENFP,그럼 그만둘 수도 있겠다라는 생각이 있는 거...예요?,,
INFJ,"네 당장 저는 뭐 다음 달에도 수익이 들어올지 안 들어올지 몰라가지고 근데 이거는 아마 되게 잘 아실 거예요
실용음악 하시는...분들 중에서는 ",,
INFP,"맞아요 예전에 같은 고민을 했어가지고
원래 드럼도 세션도 쓰는 사람만 쓰기 때문에
약간 한국에서는 밴드 활동은 거의... 인디 쪽 그냥 홍대 지하
다 수입이 없는 수준이어서 ",,
INFJ,진짜 수입이 다 없어가지고 ,,
INFP,음악 하는 건 되게 힘들거든요,,
ISFJ,"저도 초등학교 6학년 때부터 계속 입시미술을 했어가지고 고3 때까지 하다가 관둔 거여서
그때 진짜 마음이 근데 많이 아프긴 했어요 뭔가 진짜 아쉽고 내 지난... 시간이 너무 아쉬웠긴 한데 그걸 이용해서 할 수 있는 다른 길을 조금 봐 보는 것도
조금은 숨통이 트이지 않을까 감사합니다 싶어가지구",,
INFJ,감사합니다.,,
INTP,"유튜버라는 직업이 저랑 잘 맞지만 이 직업을 오래 할 수는 없을 것 같아요
네 저도 근데 사실 이게 격려도 딱히 필요 없고 해결책도 제 나름대로 다 생각한 부분이 있어서",,
ISTP,해결책이 뭐예요 그래서?,,
INTP,해결책이 뭐 유튜버 안 맞으면 다른 일 하면 되지 뭐,,
ISTP,다른 일은 생각해 둔 게 뭐예요?,,
INTP,"다른 일은 이제 제가 유튜브 하면서 느낀 건데 인형 만들기를 제가 좀 잘 하거든요 다른 손재주 써야 되는 일을 한번 찾아보자
뭐 인테리어나 목공이든",,
ENTJ,그 계기가 있었을 거 아냐,,
INTP,"아냐 점점 제 유튜브가
인기가 떨어지기 시작했어요",,
ISTJ,아 이게 또 보이니까,,
INTP,"네 이게 결과적으로 보이니까 서서히 이제 좀...
한물갔나 보더라구요 이게 정말 좋아하는 일이라면은 취미로 해도 되니까... ",,
ISTJ,새로운 의견을 더 듣고 싶은 부분 이런거,,
INTP,이런 거 딱히 없는 것 같은데,,
ESFP,"아.. 저의 카드는
오늘 점심 뭐 먹을지가 고민이라고... 적었는데요 아 근데 요거는 과거 질문이니까
조금 이 톤에서 조금 바꾸면 제가 규칙적으로 밥을 먹을 수 있는 방법?
이 있다면! 공유해 주시면 좋을 것 같습니다 ",,
INFP,제가 식단 같이 할래요,,
ISFP,규칙적으로 먹을 수밖에 없겠다,,
ENFP,거기까지 간다고?,,
INFP,"나도 막 작업실 같은 데서
맨날 배달 음식 한 입 먹고 하루 살고 한 입 먹고 하루 살고",,
ESFP,나도 그러고 있어요,,
INFP,"이렇게 하다가 이제 운동, 식단 시작했는데 요리를 못 해도 이제 어느 정도는
하려고 노력을 하게 되니까..",,
ESFP,고민이 해결 되었습니다 식단을 하겠습니다,,
ISFP,클났네 아.. 클났네 내 고민 말하기가...,,
ENFP,왜왜?,,
ISFP,"젤네일을 했는데... 손톱이 많이 상해가지구
이걸 어떻게 하면 좋을지 이게... 고민이었거든요",,
ISFJ,어 너무 귀여워,,
ISFP,아 죄송해요 진짜,,
ESFP,왜 왜 죄송해요~,,
ISFJ,그거 네일샵에 가서~ 여기 손톱 상했어요 하면 이렇게 갈아주고 강화제를 발라줘요ㅋㅋ,,
ISFP,이게 제 고민이었어요...,,
ESFJ,그럴 수 있어!,,
ENFP,충분히 이해돼!,,
ESFP,우리 고민도 참ㅋㅋㅋ,,
ISFP,그러니까 그러니까!,,
ISFJ,저는 고민이 딱히 없어요,,
ENFP,아~ 맞다 맞다 지금도 없으십니까?,,
ISFJ,"네 고민이 뭐냐고 하면 뭐 잘 모르겠어요 저의 고민이 뭔지 이걸 말하면~
뭔가 시청자분들이... 실망하실까봐ㅋㅋ",,
ENFP,걱정하실까봐 걱정 좀 하라 하자 그냥!,,
ISFJ,그래서 걱정을 안 시키기 위해서! 고민이 없습니다,,
ENTP,"지금까지의 제 선택에는 후회가 없지만
딱히 하고 싶은 것도 없어요 그리고 꿈도 딱히 없고 스무 살 때부터 해왔던 일을 다 하고
그만두고 두 달 동안 내가 하고 싶은 걸 다 한 거야 즉흥적으로 여행도 떠나고
가족들하고 주말을 한 번도 못 보냈었는데 매주 가 가지고 가족들하고 막 맛있는 것도 해 먹고 어느 순간 그 생각이 딱 드는 거야 아 이게 나중에 내가 지금 돈을 벌어가지구 뭔가를 성취해가지고
해도 지금 내가 느끼는 행복하고 크게 별반 다를 게 없을 거 같은 거야
그 두 달 동안 놀고 갑자기 우울하게 다가와가지고 어.. 아.. 그냥 죽어도 여한 없겠다 라는 생각까지 들어버리더라구 나는 내 주변에 우울증인 사람이 있는데
그 사람이 이제 죽음에 대해서 얘기를 하는 게 나는 한 번도 그 우울이란 감정을 몰랐으니깐 내가 어느 순간 그냥.. 지금 여기에서.. 아파트에서 뛰어내려서 죽어도 별로 여한 없겠다
이게 그냥 다이렉트로 꽂혀버리는 거야! 내가 왜 이러지..? 아 목표가 없네? 근데 지금도 나는 목표가 없어",,
ENTJ,"조심스러운 게 다 해봤다고 표현을 하잖아 근데 그 기준점이 얘한테는 맞을 수 있는데
나한테는.. 턱없이 말도 안 되는 소리라고 생각하거든 왜냐면 솔직히.. 알프스 산맥 가봤어? 막 이렇게 따졌었을 때 못 해본 게 수두룩해! 근데 다 해봤다고 표현하면 안 되는 거거든 그래서..",,
ENTP,내가 그걸 봤을 때 느끼는 감동도 별로 클 거 같지 않은 거야,,
ENTJ,"내가 그걸 봤을 때 느끼는 감동도 별로 클 거 같지 않은 거야 
그게 나는 그런 생각을 좀 고치면.. 너가
하고 싶은 게 욕구가 생기지 않을까야 그러니까 억지로라도 사람을 좀 밀어서.. 갔었을 때 직접 보는 거랑 스크린으로 보는 거랑 정말 다른 거는 그거 하나 때문에 움직여서 나는 뭔가를 더 해봐야 한다고 생각해",,
ENTP,"나는 인생에서 요리하고 그림이 진짜 컸어 내가 막 하루에 열몇 시간씩 요리만 해가지고
인생에서 제일 미친 듯이 했던 시기가 있었고 그림도
그다음에 내가 그걸 이루.. 그냥 유명해지고 내가 하고 싶은 걸 다 할 수 있는 정도가 된 거야 그러니까 이제 뭘 해야 되지?",,
ENTJ,"근데 나는 요리랑 그 미술 같은 거는 그냥 단...
하나의 도구라고 생각해 너는 너야 너를 표현할 수 있는 도구인 거지 다른 도구를 찾아서 널 표현할 수 있는
효율적인 걸 찾는 거에서 재미를 느끼면 또 다른 게 또 나올 거라고 생각을 해 목표는 절대 같은 게 아니야
그거는 가기 위한 과정일 뿐인 거지 ",,
INTJ,"그래서 저는 역으로 궁금한 게
약간 여한이 없겠다를 실감했을 때 놀랐다고 했잖아요 그럼 그 놀란 이유에 아 근데 이런 게 있었지 하는 게 없었어요? 저는 그게 약간 꿈이랑 비슷할 거 같아서 \",,
ENTP,"아 그냥 아유 내가...
그렇게 되면 우리 가족은? ",,
INTJ,"그쵸 이런 게 있잖아요 왜냐면 저도 꿈을 설정할 때 가족부터 시작을 해서
이렇게 구체화를 했거든요 ",,
ENTP,"삶의 이유니까 근데 나도~ 내가 노을 보는 거를 진짜 좋아해가지고
난 시그니엘에서 살 거야 서울에서 제일 높은~ 곳에서 마지막까지 노을을 보는 사람이 될 거야 그래서 돈 많이 벌어서 제일 높은 곳에서 노을을 마지막까지 봐야지 이게 있었는데 이것도 너~무 너무 먼 아득한 거야 ",,
ENTJ,"원래 꿈이란 게 원래 그렇잖아 나라는 사람은 종적을 뭘로...
가치를 두느냐에 따라서 내가 존재하는 그거에 대한 표현할 수 있는 방법이라고 생각하고
그랬었을 때 이제 목표가 장기적인 플랜이 거기서 딱 생긴다고 생각을 해 그러니까 그런 거에 대한 정의할 수 있는 시간이
분명히 있어야 된다고 생각해 그래서 이게 한 번에 안 되잖아 그러니까 여러 번 계속 연습하고 그러지 않기 위해 계속 계속 되물어야 된다고 생각을 해 나는",,
ENTP,고마워,,
ENTJ,왜 우는 거야 근데? 이해를 못 하겠어서 그래 나는,,
ESTJ,"나는 속으로는 했는데 왜 울지?라고 했는데 
",,
ENTJ,"어떤 부분에서 울음이 터졌는지 분석을 하고 싶은데
답이 안 나와서",,
ENFJ,"아니야 아니야 아 근데 이거 이런 게 아니고 응 잠깐만 조금만 시간을...
필요할 거 같아요 사람을 계속 만나고 배려하지만 외로움이 있습니다
그냥.. 이 정도 ",,
ENFP,근데 그 외로움이 어디에서 오는…,,
ENFJ,"뭐라 해야 되지 중학교 때부터 계속 혼자 했거든요 뭔가
그러니까 누굴 만날 때는 진짜 생각이 또 없어지긴 해요 그런 것들이 근데 이제 혼자 있을 때 갑자기 어? 이런 게 있는 거죠 이런 말 했다는 게 좀 신기해가지고...
진짜 놀랬어요 내가 어 이런 생각을 했었지 하면서 다시 한 번 편지 받은 느낌이라 해야 되나 다시 나한테",,
ENFP,미래의 내가 과거의 나한테 받은 편지ㅋㅋ,,
ENFJ,"까먹지 말고 알고 있어~ 이런 느낌
뭐 마지막에 결국에는 써 있는 게 뭐 나를 배려해 줄 사람이 필요해 이런 표현이 쓰여있는데",,
ENFP,아이 제일 중요한 말을 안 했네~,,
ENFJ,이 말 단어를 쓰지는 않았던 것 같아요 이런 뉘앙스로 근데 이 해결하는 거는 숙제긴 해요 계속 저한테 계~속 생각을 해봐야 될 거 같아요,,
ISFJ,고생했어요,,
ESTJ,사고형 고민 굳이 말하라고 해서 말했던 것 같은데 이게 고민은 아닌 것 같아요 제 고민은 말 안 했었던 것 같아요,,
ENTJ,그럼 꺼내봐,,
ESTJ,"이제 일단 요거는 여행을 자주 다니고 싶은데 그러질 못했어요 저는 제가 게으른 거 알아서
제가 안 간 겁니다",,
ENTJ,그냥 그거 말고 진짜 진짜 고민을 얘기해 달란 건데,,
ESTJ,"그냥 이거는 춤에 대한 건데
제가 못 하는 게 고민이라서 그거는... 그냥 항상 저도 알아요
연습하면 잘 되니까 할 수 있어요 안 해서 게을러서 귀찮아서 안 하고 있는 거지 다 알고 있어서...이게 고민 진지한 고민 근데 말을 잘 안 하죠 어차피 해결될 거는 제가 아니까",,
ESTP,"근데 나는 막 옆에서 보고 있을 때 그니까 스스로를 자꾸 제한하는 느낌?
내가 될 수 있을까? 내가 할 수 있을까?",,
ESTJ,본인에 대한 믿음이 없는 그런 느낌인가,,
ESTP,"어 그러니까 스스로를
자꾸 그냥 낮춰버리는 거야 일단 도전 자체를 안 하고 어? 나는 안 될 것 같아
약간 되고 싶다고 말은 하는데 실제로 그렇게... 믿진 않는 느낌?",,
ENTJ,자존감이 좀... 낮은 편이야?,,
ESTJ,"보여줄 때만큼은 누구보다 프라이드가
제 춤에 대한 프라이드가 있는데 말을 하는 거 자체가 그런 거 같아",,
ESTP,근데 스스로 생각했을 때 다른 댄서들에 비해서 잘한다고 생각해?,,
ENTJ,그러니까 나는 가능성이 있다고 생각해 없다고 생각해?,,
ESTJ,있어,,
ENTJ,어 그럼 X밥이라고 표현하면 안 돼! 난 못해요 라고 하는 게 아니야 원래 그렇게 얘기하면 안 돼 난 잘해요 난 이거 잘할 수 있어 잘될 거야 하면서부터 시작을 해야지,,
INTJ,"저는 이 겸손이랑 겸양이 정말 어려운 거라고 생각을 하거든요 왜냐면은 진짜 탑에 있는 사람만이 할 수 있는 거라고 생각해요 겸손이랑 겸양은 왜냐면은 이렇게 나를 낮출 때가 아니야 나는 올라가야 될 시기란 말이죠 그러니까 그런 말을 자꾸 하는 게 이해가 안 돼요 전 나는 나는 이 자리에 올라가서 아닙니다 라고 했을 때 말에 힘이 있는데 지금은
깎아내릴 때가 아니라는 거죠 올라가야 될 때니까",,
ESTP,"나 같은 경우에도 사실 일타강사에 대한 얘기를 했지만 나는 일타강사가 될 수 있을 거라고 확신을 갖고 있거든
물론 다른 사람들이 볼 때는 더 나은 사람이 있을 수도 있지만 나는 나만의 일타강사가 될 거니까",,
ISTJ,응 그게 지금 딱 고민 되긴 될 거야 정립이 되긴 무조건 되는데 그게 얼마나 시간이 걸리느냐 그 과정 속에서 내 자신이 스트레스를 받으니까 그래서 문제인 거지,,
ESTJ,도와주십쇼,,
INFP,"인터뷰를 할 일이 최근에 생겨서 공부도 하고 해가지고 이거 말해야지 하고 갔는데
하나도 생각 안 나는 거예요 인터뷰를 잘 하고 싶..다고
너무 소심해지는 게 고민이에요",,
ENFP,"근데 일반 사람들이랑 대화할 때도 그래요
아니면 딱 인터뷰라는 그런 거예요?",,
INFP,"갖춰진 자리나
저를 잘 모르는 사람들?",,
ENFP,"그냥 제일 좋은 거는 그냥 경험을 많이 하는 거인 거 같고
하다 보면 익숙해지니까 이것도 방법이 될 수 있을 거 같고 나도 되게 많이 떠는 성격이었는데 나는 질문을 딱 던졌을 때 생각해 본 적이 없으면 바로 대답을 못 하니까 이 사람들한테 그 시간이 너무 미안한 거야",,
INFP ,음 맞아,,
ENFP,그러니까 내 대답을 생각해야 되는데 맞아~ 막 아 죄송한데 아 죄송한데 죄송해요 죄송한데요 막 이러고,,
INFP,어떡해 죄송한데로 머리에 꽉 차서 생각을 못 해,,
ENFP,"그래서 어 그러다가 시간이 가니까 더 패닉이 오는 거지 아 잠시만요 생각 좀 해볼게요 해도 되는데 그때는 그걸 몰랐어 아니 심지어 대답하고 나서 너무 횡설수설했죠 죄송해요 
뭐가 그렇게 죄송한지ㅋㅋ",,
ISFP,거울 보면서 아 나 이렇게 이렇게 말할걸 후회하구 다시 연습하구 ,,
ISFJ,거울 보면서 똑같이 해보고,,
ENFP,다 똑같애,,
ISFJ,맞아요 근데 그렇게.. 그런 분들 진짜 많아요,,
INFP,"저도 그래요 그래서 여기 나온 게 너무... 좋은 경험인 거 같아가지구
매일 이제 인터뷰를 하잖아요 사실 하는 것도 덜덜 떨려서
어제도 그렇고 그제도 달달 떨면서 하고 있는데? 뭔가 조금씩 나아지는 것 같다",,
ESFP,사랑스러워,,
ISTJ,"어.. 제 직업의 수명이 짧아서 다음 단계를 생각해야 돼요
어떻게 내 자신을 발전시킬지 고민이에요 근데 이거 저도 이미 계획은 좀 다 짜져있어요",,
ESTP,역시 T야,,
ISTJ,"아니 왜냐하면 이제 뭐 현실적으로 생각을 해야 되니까
제가 이 직업으로 평생 밥 벌어먹고 살 건 아니잖아요 뭐.. 나이가 들고 저도 뭐..
연골이 나가고 이러면 못 걸을 수 있고 포즈 못할 수 있고 이.. 다음 수입적인 걸 생각을 해야 되니까",,
ENTJ,스핀 오프를 어느 쪽으로 할 생각이야?,,
ISTJ,"저는 일단 근데 모델 일을 아예 놓고 싶지는 않아요
그러니까 병행하면서 하고 싶은데 이거를 예능 쪽으로 정해야 할지
아니면 배우 연기 쪽으로 정해야 될지 아직 그건 저도 좀... 어떻게 보면 여기 이 콘텐츠에 나온 것도 그거에 대한 밑거름이 될 수 있는 거라고 생각을 해서 뭐 어떻게 보면은 계산적으로 나온 거죠 이게 딱히... 안 풀리고 사람들의 도움을 받아야 될 만한 고민은 아니에요 이제 인터뷰할 때 고민이 무엇이냐고 물어봐서 이제 고민이라고 할 만한 거는
굳이 따지자면은 이게 있겠네요 그나마 이거 이래서 한 거지 아 이것 좀 제발 해결해 주세요 저 진짜 모르겠어요 이건 아니어가지고",,
ENTJ,"정답은 다 자기가 갖고 있어
어 그냥 지금 반증하는 자리인 거 같아 ",,
INTJ,알아서 걸러 알아서 걸러,,
ESTP,이미 아는데? 막 이러고,,
ISTP,"저도 근데 뭐 언제 결혼할까요?
결혼 적령기인데 네 아 저는 16명 있으니까 그중에 결혼한 사람
한 명쯤은 있을 거 같았는데",,
ENTJ,"아 그런 마음으로 또 왔다~ 여기가 MBTI 인사이드가 아니라
짝... 짝인 줄 알고 왔다~",,
INTJ,아니 아니 결혼하신 분이 있을까,,
ISTP,"결혼 물어보려고 어떠냐 근데 아무도 없길래 좀...
물어보기가 좀…",,
ENTJ,난 얘의 가능성을 무궁무진하게 봐,,
ISTP,하려면야 내일 가서 할 수도 있겠죠~ 저랑 결혼할 사람 지금 뭐하고 있을까?,,
ENTP,사주 같은 거 본 적 있어요?,,
ISTP,저 사주 안 믿어요,,
ENTJ,여기는 햇살 들어오니까 기분이 또 뽀송뽀송 해지네~,,
ESTP,사실 고민인데 고민 얘기가 아니었어,,
ISTP,아니 좀 사람들이 정들이 없어,,
ENTJ,왜 자꾸 프락치인 척을 해~,,
ISTP,"아니 고민이면 좀 이제 아이고 그랬구나 이런...
맛도 좀 있어야 되는데 아까도 우실 때도 형은 야 왜 우냐? 이러고",,
ENTJ,내가 또 언제 왜 우냐라고 했냐?,,
ENFP,이렇게 운 것도 신기해,,
ENFJ,"이 얘기 하는 분위기가 같이 있잖아
이런 분위기를 느낄 수가 없잖아요 어딜 가서",,
INFJ,저쪽도 했을 텐데 분위기 어땠을까요? 진짜 고민 열심히 상담해 주는 거 아니야?,,
ENFP,해결해 해결해 줄 거 같지,,
ISTP,옆방도 이제 고민할까요?,,
ISTJ,하겠죠 당연히,,
ISTP,T가 원래 고민이 없는 건가?,,
ISTJ,"성적으로 그냥 문제를 해결하려고 하는 거 아닐까요?
T는 이걸 그냥 해결하고 싶고 현실적으로 어떻게 헤쳐나가야 되나 이렇게 생각을 하는 거 같아",,
ISTP,그럼 위로받고 싶었던 적이 한 번도 없어요?,,
ISTJ,별로,,
ENFP,안 맞는... MBTI 있어요?,,
ESFJ,언니가 방금 유튜브 각을 던졌다!,,
ENFP,그러니까 불호까지는 아닌데 약간 어? 이 부분은... 조금... 다르네?,,
ENTP,그럼 다들 들어오기 전에 그런 거 봤어요? 막 내 MBTI 찾아보고 나랑 잘 맞을 거 같은 MBTI 안 맞을거 같은 MBTI,,
ESTJ,아직 다 못 만나.. 많이 다 얘기해 본 게 아니라서 아직 잘 모르겠..,,
ISTP,난 잘 안 맞을 거 같은 사람 ISTP로 했는데,,
INFJ,오히려 ISTP 형 자꾸 저를 놀리려고 하는데저는 이게 좀 약간 안... 못 받더라고요,,
