MBTI,대사
ESFP,만나기로 한 상황까지?
ENTP,만나기로 했는데 10시에 연락을 안 받아 가지고 남자친구 집까지 찾아간 거야
ESTJ,이렇다니까 이렇다니까
ESFJ,미쳤어
ISTP,어~ 왔어?
ESFP,그 있잖아
ISTP,어
ESFP,그 핸드폰에
ISTP,어 잠깐만?
,상황 3) 연인이 다른 사람과 비교를 할 때 또는 질투를 유발할 때 감독 : ESTJ 여자친구 역 : ISFP 남자친구 역 : ISTP 좀 그런 사람 칭찬할 때
ESTJ,만약에 이제 앞에서 여자친구분이 다른 방송인이나 좀 그런 사람 칭찬할 때
ENTP,비교할 때?
ESTJ,그러니까 어 이 사람은 재밌던데?
ISTP,그냥 진심으로 하는 건 괜찮은데 일부러 질투 유발하는 거면 너무 싫지
ISTJ,일부러 그냥 얘 짜증 나게 하려고 건드리려고?
ISTP,거기서 이제 나도 똑같이 해
ISTJ,어차피 그 의도는 다 보이니까?
ESTP,뭘 뭐라고 해요? 똑같이?
ESTJ,나도 너 친구 이쁘던데? 뭐 이런거?
ISTJ,그런 식으로 맞장구치는 거지
ESTJ,근데 이게 상대가 그렇게 하면 그렇게 하는 게 도리라고 생각하는 거 같아요
ISTJ,네 딱 그냥 받은 만큼 되돌려주는 거지
ISTP,보통 질투 유발시키는 애들은 보통 다 F임
ESFJ,그러면 난 그냥 가만히 있는데 그렇지 않아요? 그렇게 질투 유발을 내가 먼저 했어도 그렇게 또 다시 이렇게 또 질투 유발 오면 그때 이제 말 못 해 나는
ISFP,귀엽게 질투 유발하면 귀엽지 않을까요?
ISTP,야 니 친구 예쁘더라 내 스타일이던데?
ISFP,참~나
ESFP,어! 저 막간을 이용해서 질문드릴 게 있는데 본인이랑 똑같은 MBTI랑 사귀고 싶은 사람 있어요?
ESTP,나!
ISTJ,아니요?
ESFP,진짜?
ESTP,근데 나는 나랑 똑같은 사람 만나고 싶은데?
ISTJ,어휴 그래요?
ESTP,네!
ISTJ,왜요? 뭐가 더 좋을 것 같은데요?
ESTP,근데 일단 제 MBTI가 논리적인 거 좋아하고 그다음에 패션이나 이런 거 관심 있어 하는데 근데 제가 호감 가는 여자도 약간 논리적인 거
ISTJ,논리적이고 센스 있고?
ESTP,약간 좀 지능 있고 지능이 있다는 게 아니고 지능이 좀..
ESFJ,지능은 있지
ESTP,그러니깐 조금 더...
ENTP,아~ ESTP가 아니면 능지가 딸린다?
ESTP,아니 아니 그게 아니고 그게 아니고 저는 그러니깐 저랑 대화 수준이 안 맞는다 하면 못 만나요
ENTP,근데 그게 진짜 중요해
ESTP,핀트가 자꾸 안 맞으면 논리적이지 못하거나 그러면 저는 못 사귀어요 사귀다가도 헤어져요
,N방 INtuition : 직관형
ENTJ,여기 앉아서 구경해요
ENFJ,구경해요 구경
INTP,구경해요~ ISFJ 님
ISFJ,감사합니다~
ENTJ,원래 셰프는 원래 위에서 보는거야
ISFJ,감사합니다
INTP,그럼 그럼 맞지 맞지
ENTJ,아 감사하긴~이따 돈 받을건데
INTJ,그럼 그럼
ISFJ,제가 설거지할게요
ENFP,이거 설거지 내기
ISFJ,아 그러면 제가 같이 할게요
ENTJ,가만히 있고 2만원씩 달라고
INTJ,원래 세상에 설거지하는 셰프는 없어요
ENTJ,그럼~ 좋았어
,NOTICE 지금부터 각 방의 문이 열립니다 자유롭게 시간을 보내세요
ESTJ,이거 근데 치우고 가야 하는 거 아니에요?
ENTP,이것만 정리하고 갈까요?
,NOTICE 오후 09:00에는 호감도 투표가 진행됩니다
ENTP,네~
ESTJ,잘 먹었습니다
ENFJ,옆에 안 가세요?
ENFP,이쪽으로 넘어오실 거라는데?
ENFJ,다 같이? 아~
INFJ,도망가야겠다
ISFJ,넘어오신다고 하니깐 이제
INFJ,네 도망가야 돼요
ENTP,근데 확실히 난 이 방이 편하다
ESFJ,안녕하세요~
INFJ,안녕하세요
ENTP,왔어~ 왔어!
ENFP,따라 해보고 있는데
ESFJ,오늘 장기자랑으로 이거 하셨다면서요
INFP,맞아요
ENFP,어ㅋㅋ 그냥 이거 만들어주셨어
ESFJ,엄청 귀엽다 이거 어떻게 하는 거야?
ENFP,바느질하는 남자 아주 섬세해 보이더라고
ESFJ,멋있다 진짜~
ENFP,멋있어
ESFP,안녕하세요~
ENFJ,안녕하세요
ENTJ,안녕하쎄용!
ISFJ,으 힘들어 아이구 허리야
ISFJ,안뇨옹
ISFP,어 깜짝이야! 아 깜짝이야 깜짝이야!
ISFJ,왜 왜 왜ㅋㅋ
ISFP,아 나 분명 아 내가 아까 문 닫은 적이 없는데 문 닫혀있지? 했는데 아무도 없네? 했는데
ISFJ,슬그머니 와서 누워있었어
ISFP,언니 어땠어요?
ISFJ,저 망했어요
ISFP,왜요?
ISFJ,비호감 투표 받을 거 같아요
ISFP,왜 왜? 그럴리 없어 왜?
ISFJ,아니야 진짜...
ISTP,롤플레잉을 아주 재밌게 했다고~?
ESFJ,근데 진짜 웃겨요
ESTP,한번 보여줘 너무 재밌어 너무 재밌어
ENTP,두 분 두 분! 두 분 앉아가지고 한 번만 해보면 안 돼요?
ISTP,형 화내세요?
ENTP,둘이?
ENTJ,나?
ESTP,둘이 둘이 한번 해봐 둘이
ENTJ,억텐으로는 내지
ESFJ,샘플을 보여드릴게요
ISTP,아니 (롤플레잉) 하면서 화 잘 내요?
ENTJ,화? 그냥 웃기려고 내는 거지 진짜는 잘 안 나
ISTP,진짜 화 잘 안 나요?
ISFJ,아니이~ 속았어 속았어 그 개그맨 분 있잖아요 그 분이 아 그 방은 뭐 무슨 일 없었어요? 우리 방은 얘기하다가 막 울고불고 난리도 아니었어요 이러는 거예요 그래가지고 아 진짜요? 왜요? 이랬더니 그냥 얘기하다 보니까~ 눈물도 흘리고 막 그랬어요 이러는 거예요 그때 나 갑자기 동질감 느껴져서 저도 아까 울긴 울었어요 이랬거든요? 갑자기 다 같이 어어~ 이렇게 하는 거예요 근데 뭔지 알죠 그거 들으면 더 슬프잖아요 그래서
ISFP,더 눈물 나 맞아 맞아
ISFJ,어~ 이렇게 해가지고 갑자기 갑자기 핑 도는 거야 그래가지고 어~ 이렇게 해가지고 갑자기 갑자기 핑 도는 거야 그래가지고 별 일도 아닌데 그래서 그때부터 갑자기 진짜 폭풍 눈물이 나는데 감정 컨트롤이 안되는 거예요
ISFP,아까 전에 못 참았잖아요 언니가
ISFJ,내가 원래 우울해가지고...
ISFP,아니야~ 절대 그런 거 없어 아니야 아니야 무슨~ 무슨 언니가... 하나도 안 우울해
ISFJ,또 나를 숨겨주네
,상황 ) 사귄 지 1년 된 커플 시그니엘에 가서 인당 20만 원짜리 코스 요리를 시킴 그곳에서 본인이 김치와 공깃밥을 요구함
ENTP,둘이 만난 지 일 년 됐어 일 년 돼가지고 이제 남자친구가~ 남자친구가 여자친구 데리고 어디 좋은 데 데려가려고 저기 시그니엘 가가지고 인 당 20만 원짜리 코스요리를 먹었어 근데 코스요리를 먹는데 오빠가 저기 여기 김치 없어요? 공깃밥 있어요? 막 이런 거야
ENTJ,시그니엘 가서?
ENTP,시그니엘 가가지고 저 공깃밥 있으면 하나 주세요!
ENTJ,야...ㅋㅋ 야 나도 누울 자리 볼 줄 아는 사람인데 거기 가가지고...
ENTP,아니 근데 그때 마침 분위기가 좋아가지고 오빠가 웃기겠다고~
ENTJ,나 급발진을 한 거구나~ 븅X같이~
ENTP,근데! 거기에서!
ENTJ,그럴 수는 있지!
,상황 ) 사귄 지 1년 된 커플 시그니엘에 가서 인당 20만 원짜리 코스 요리를 시킴 그곳에서 본인이 김치와 공깃밥을 요구함 근데 거기서 종업원이 본인을 알아봐서 신남
ENTP,근데 그게 왜 그랬냐면은 거기에서 종업원이 오빠를 알아봤어~
ENTJ,또 신났구나~ 또 알아봐가지고~ 못 알아봤으면은 거기서 안 나댔는데!
ENTP,근데 여자친구가!
ENTJ,아 상황이 개 디테일하네~
ISFJ,이렇게 방에서 대화하는 건 안 담았으면 좋겠어 진짜 방에서 대화하는 건 내보내지 마세요! 부탁드립니다! 근데 이게 여기까지 찍히나 이 각도가?
ISFP,글쎄요~?
ISFJ,그렇게 설정을 해 놨으려나?
ENTJ,나 이미 엉덩이 뜨고 얘기 듣고 있다 이만큼 뜨고 듣고 있어 어 얘기해 봐 나 어화둥둥이야 지금 날 알아봤어~
ENTP,근데 남자친구가 위에 이제 객실까지 예약 다 해놓고 근데 여자친구가
ENTJ,간다는 소리는 안 하겠지 갑자기
,상황) 사귄 지 1년 된 커플 시그니엘에 가서 인당 20만 원짜리 코스 요리를 시킴 그곳에서 본인이 김치와 공깃밥을 요구함 근데 거기서 종업원이 본인을 알아봐서 신남 그런 모습이 여자친구는 부끄러움을 느껴 기분이 안 좋음
ENTP,아니 여자친구가 창피한 거야 계속 먹는 내내 틱틱거렸어 근데 인제 계산까지 오빠가 한 40만 원 결제하고 우리 이제 거기 전망대 보고 객실 올라갈까? 이러는데 표정 굳어있으니까 근데 너 표정이 왜 그래? 시작!
ENTJ,아 그것도... 아이 그걸 또 몰라 나도? 나 너무 눈치.. 모른다고? 나 아는데 난... 난 이미 눈치 알아! 이미 아는데 모르는 척하는 거겠지
ENTP,어 근데 여기가 괘씸해가지고 한번 물어봤어
ESTP,상황극을 해야 돼요
ENTP,어 레스토랑 앞이야 나왔어
ENTJ,맛있어? 하나만 잡았지~ 잡았지~ 잡았지~ 냠~
ESTP,이겼다 이겼다
ENTJ,냠~ 
ISTP,사랑해
ISFJ,그리고 내가 그때 ISFJ 대표로 나왔잖아요 ISFJ들이 이렇게 울보는 아니거든요?
ISFP,아니죠 아니죠
ISFJ,아니야 진짜로 그 그거 읽어보면 이렇게까지 울보는 아니고 뭔가 씩씩하고 끈기가 있고 인내심이 강하고 그러고 배려를 잘하고 막 이런 느낌인데 내가 지금 여기 와서 계속 울기만 하고 막.. 요리도 못하고 이러니까..
ISFP,그게 그게 무슨~
ISFJ,미안해 난 이 ISFJ한테 미안해 내가 이런 대표라는 게
ISFP,언니
ISFJ,그래서 너무 자괴감들어
ISFP,저 휴식 시간에 잠만 잤어요~
ISFJ,근데 ISFP에 맞아요 아니 ISFP는 막 잠만 잔다 그래가지고 잠만보래요 그래서 차라리 내가 ISFP였으면 진짜 잠만 잤을 거야 캐릭터에 맞게
ISFP,아냐 나 캐릭터에 맞게 움직이지 않았어~
ENTP,진짜 잘해
ENTJ,오늘! 좋았다~ 내일은 내일은 내가 열심히 해볼게 나 오늘 굿 리스너 모드였거든
ISTP,나도 내일 한 마디도 안 할라고
ENTJ,아니 왜냐면 왜냐면 그 싫어요 두 개가 살짝 날 위축되게 만들더라고
ENFJ,근데 어제보단 확실히 어제보단 달랐어
ENTJ,많이 들어주려고 했어
ENFJ,어제보단 조금 많이 계속 듣고 리액션을 했지
ENTJ,빨간 거 두 개가 생각보다.. 날 구속시키더라고
ISTP,내일은 더 더 불호만 있을 거야
ENTJ,그래서! 그래서 내가 계획을 세운 게 내일도 이렇게까지 했는데 빨간 게 생긴다 난 아래를 찍어볼 생각이야 그래서
ISFJ,부탁해요! 지짜루 그거 잔인해요~
ISFP,누구보고 말하는..
ISTP,내일은 또 옮기나? T끼리?
ENTJ,그니까 내일 한번 보겠고만 내일 한번 보겠어
ISTP,어? 내일 T!
ESTP,어~ T!
ISTP,F? F예요?  F T F 와 그럼 F들은 모여서 뭐 하나? 하하 호호 하면서 이제 그냥
ESFP,감동적인 영화 볼게요
ISTP,그냥 서로 감상들에 빠져가지고
ENFJ,그렇게 간다구?
ENTJ,너 그냥 이제 막 가기로 한 거야?
ISFJ,누워있지 뭐야 왜 앉아있어요? 눕는 거 좋아하잖아 두통에 좋아 두통에
ISFP,저 누워있는 거 아니야~ ISFP라고 다 누워있는 걸 좋아하는 게 아니에요 저 누워있지 않고 기대있는 거지!
ISFJ,내가 편견이 있네 편견이~
ISFP,나 지금 기대..! 누워있는 거 아니.. 기대있는 거예요 살짝..! 반 앉아있는 거죠~ 저는.. 많이 누워있지 않아요~ 누가 누워있
ISFJ,원래 이런 걸까요 성향이?
ISFP,아니 근데 그냥 아까.. 말하고 싶은 게 절대 우울한 사람이 아니라 행복한 사람이야
ISTP,조심하세요~
ENTJ,갑자기?
ESFJ,가야 돼 엉엉엉
ENFJ,아 이제 시간 되니까?
ESFP,귀찮다
ENFJ,아까 있던 데로?
ENTP,지금 우리 만난 이래로 제일 조용한 것 같아요 사람 있는데 기가 빨렸나 봐
ENFJ,준비하는 거지 이제 어우 좋다
,NOTICE 지금부터 호감도 투표가 시작됩니다 자유롭게 순서를 정해 1명씩 각 방 2층 투표실로 올라와주세요
ESTJ,누구부터 가실래요?
ESFJ,나!
ESFP,이쪽부터 이렇게 아 어어
ESTJ,갔다오세용 나머지는 마술이나 하고 있죠
ESFP,좋아요
ISFP,저 한번 해볼래요
ESTJ,아 또 다른 거 해드릴까요 이제?
ESFJ,갔다올게요~
,16인의 MBTI들은 매일 밤 호감도 투표를 진행합니다 호감도 투표실
,호감도를 가장 많이 받은 MBTI에게는 '특별한 선물'이 제공됩니다
ESFJ,호감이라고 생각됐던 MBTI는! ISFJ입니다 저랑 앞 글자만 다른 사람이 나랑은 얼마나 잘 맞을까? 혹은 얼마나 안 맞을까를 오늘 좀 많이 좀 볼라고 노력을 했던 것 같은데 근데 마침 또 같은 방에 배정이 되어서 저는 너무 좋았던 것 같아요 좀.. 친해지고 싶은 사람이다?
ISFJ,댄서 분이 ES.. TJ 맞나요? 그분이요 그분이 제 구독자시라고 하면서 계속 저한테 제 영상 잘 봤다면서 제 영상 후기를 하나씩 알려주셨는데 너무 감사했어요
ESTJ,ISFJ분! 굉장히 얘기를 많이 했고 그냥 그런 성격 물론 되게 조용하시고 내성적이셔서 뭔가 밖에서 만나면 힘들 것 같지만 그냥 그런 사람이 인기도 많을 것 같고
ISTP,저~랑! 거의 비슷하신 ESTP! 저도 되게 똑똑한 사람을 좋아해가지고 되게 그냥 사람이 여유 있어 보이고 뭐 그렇다고 해서 되게.. 막 거들먹거리거나 이런 것도 아니고 음 되게 잘 웃고 뭐 다른 사람들도 잘 받아주고 이래가지고 저는 되게 그분 좋았던 것 같고
ESTP,ISTP인데 가장 재밌었어요 저랑 E랑 I만 빼고 나머지가 다 똑같은 케이슨데 논리적인 말을 할 때도 되게 재밌었고 나머지 파트에서도 상황극도 되게 잘해주시고 그리고 낄 때 딱 껴주시고 빠질 때 딱 빠져주시는 게 가장 재밌었습니다
ENTP,INFJ님입니다 되게 조용히 남들을 관찰을 하는 거를 제가 봤는데 되게.. 인상 깊었고! 배려심 가득한 MBTI라고 생각을 했습니다
INFJ,그래도 가장 솔선수범하고 또 옆에서 그런 부분을 많이 보여주셨던 ENFJ님!
ENFJ,ISFJ분이 오늘.. 그냥 얘기 들었던 내용들이 있는데 그걸 듣고 나니까 그냥.. 자연스레 그쪽으로 좀 신경이 쓰여서
INTP,ENTJ! 저를 많이 챙겨주신 것 같아요 제가~ 좀 적응을 잘 할 수 있게 같이 보드게임을 많이 해주려고 하셔가지고 많이 편하고 좋았구요
ENTJ,INFP인! 그 쵸단님! 제가 하는 노력이 성격을 바꾸는 노력보다는 애티튜드에 대한 노력이었는데 성향을 좀 바꾸려고 하는 노력하는 모습이 너무 멋있다고 생각했어요
INTJ,성격을 바꾸려고 하는 노력하는 모습이 그리고 되게 진지하게... 노력을 하시는 거 같아서 그게 좋았습니다 그래서 INFP님을 뽑겠구요
INFP,되게 많이 격려해 주신다고 느껴져가지구 하루가 좀 변화한다는 느낌을 받았습니다 그래서 오늘 저는 ENFP 언니
ENFP,INFP 너무 매력이 있으시더라구요 양파 같은 매력이 있는? 전혀 안 그럴 거 같은데 또 새로운 모습이 있고 또 게다가 엄청 긍정적이고 되게 예의도 엄청 바르시고
ESFP,호감 MBTI로 ISFP님을 뽑고 싶습니다 오늘 이야기를 해 보니까 너무 많은 부분이 잘 맞는 거예요~ 정말 하나부터 끝까지 다 너무 잘 맞았어요 침대를 세상에서 제일 좋아하는 것도 그렇고
ISFP,ISFJ님입니다 참... 보면서 참 마음이 아픕니다 공감대가 많다 보니까~ 더.. 좋은 것 같아요 저의 룸메이트거든요
ISTJ,ESTJ 님? 같은 STJ가 너무... 똑같은 사람일 거라 안 맞을 거라고 조금 무심결에 상상을 했었는데 오늘 또 대화를 해보니까 같아서 또 많이 공감 할 수 있는 부분이 많더라고요 그래서.. 되게 신기하고 재밌고 얘기도 많이 잘 통했어요
ISTJ,저희 저녁 식사할 때 N분 들어오셨을 때 그때 느꼈어요 아 이게 S랑 N의 차이구나? 저희는... 그 약간 상상? 하는 거를 되게 못하는데 그 저녁 먹으면서 이런 상황에서 한번 상황극을 해보자 라는 그 설정 레퍼토리를 정말 상상력을 총동원해가지고는 막 이렇게 얘기하시는 게 아 이래서 이렇게 나누어지는구나 라고 딱 느꼈던 부분인 거 같아요 오늘 그게 제일 재미있었어요
ENTP,N하고 S하고 차이를 모를 만큼 뭔가 그냥 특별할 거 없이 재미있던 하루였던 거 같아요 
ESFJ,ENTJ 오빠가 안 계셔서 오늘 하루 생활이 너무 조용했어요 약간 덜 기가 빨렸다
ENTJ,음 너무 에너지가 과해서 좀 부담이 됐다 이렇게 느끼신 분들이 있어서 그런지 어제 내 얘기만 너무 많이 하지 않았나 이렇게 생각하면서 뭔가 굿 리스너가 한번 돼 보자 다른 사람의 상황도 조금 이해하면서 다가가 보면 어떨까 해서 잘 됐을지는 모르겠지만 그래도 최대한 오늘은 좀 많이 들어보려고 했어요
ENFJ,일단 어제보다 조금 한결 괜찮아진 것 같습니다 또 다른 나를 또 알게 된 하루였던 거 같습니다 
ESFP,어제는 어떻게 맞춰줘야 될지에 대한 좀 머리에 의문점이 있었거든요 그래서 조그만한 불편함이 있었는데 지금은 뭐 거의 없어진 거 같아요 그래서 너무 편합니다 이제는 이제 여기서 자기도 하고 그렇습니다
ENFP,정말 N끼리만 모이니까 한 명도 빠짐없이 상상을 많이 하는 사람들이다 보니까 뭔가 소외되는 사람 없이 그 상황에 다 몰입해가지고 대화를 하는 게 엄청 흥미로웠고 어 뭔가 좀 마음이 편했던 거 같아요
ISTP,오늘은 그 장기자랑할 때도 저는 이제 I들은 대개 좀 못 할려고 하고 E는 막 잘 할 거 같고 이런 게 아니라 그냥 사람마다 다르다는 거를 저는 좀 느꼈던 거 같고요 
INFJ,E분들하고 섞이니까 다양한 이렇게 활동을 해도 되게 즐겁게 더 활기차게 할 수 있는 부분이 있는 걸 또 발견을 했습니다
INFP,오늘은 조금 많이 피곤하고 막 밥도 제대로 많이 못 먹어가지고 약간 힘든 내색을 한 거 같아서 걱정이 많았는데 N끼리 있어서 그런지는 모르겠지만 되게 편했고 막 그래서 좋았었던 거 같아요 
ESTJ,뭔가 오늘은 어제보다 어제의 저보다 많은 얘기를 했던 거 같아요 막 제 성격 원래 성격대로 어제는 좀 떨려가지고
INTJ,E와 I가 좀 밸런스 있게 4명씩 섞여있어서? 제가 생각했을 때 분위기가 분위기도 같이 균형이 잡혀있는 느낌이었고요 장기자랑... 타임이 있더라고요 그래서... 정말... 머리가 새하얘지면서 아찔했고 그 시간이 어떻게 지나갔는지 모를 정도로 힘들었습니다 
INTP,약간 안타까웠던 거는 우리 INTJ님 저의 모습을 엿보는 거 같았아요 저도 솔직히 뭐 장기자랑 이런 거 제일 사실 좀.. 불편해하는 편이에요 저는 대충 인형 만들기로 넘어갔는데
ISFP,음 장기자랑... 따흑! 아 눈물 나 아니 근데 정말 너무 떨렸어요 다들 재주꾼들이시고 저는 노래와 춤을 잘하지 않아요 뻔뻔함? 그거 한번 잘하면 되지 않을까 그래서 했죠
