,text,mbti,ie,ns,ft,pj
31,볼링 벙 열까요.. 볼링 치고 싶어요,intj,i,n,t,j
32,하루종일 집에 누워있어서 ㅠㅠ 나가고싶습니당,estp,e,s,t,p
33,일월에 한번 열어주시면 너무너무 감사드립니당,estp,e,s,t,p
34,사실 저도 볼링 못칩니다,intj,i,n,t,j
35,너무 멀어요 ㅋㅋ,infj,i,n,f,j
36,피씨방 이후에 몸을 풀러 드라이브를 추천드립니다,infp,i,n,f,p
37,피시방 갔다가 공원 가시져,infj,i,n,f,j
38,공원 추워요 !!,intj,i,n,t,j
39,남친썸남 없어서 혼자 제차로 드라이브 갑니다,estp,e,s,t,p
40,연애 이야기 보면 요즘 크리 세게 펀치 맞네요;; ㅋㅋ,infj,i,n,f,j
41,오늘도 찬바람을 맞으며 떨어져가는 나무를 보네요,infj,i,n,f,j
42,프리스타일 가사 쓰실줄 아시는분 ㅋㅋ,infj,i,n,f,j
43,근데 프리스타일 영상을 너무 많이봐서 사실상 리튼이라 넘어갈게여 ㅋㅋㅋㅋㅋㅋ,estj,e,s,t,j
44,리튼도 좋져 배우는거라서 더 좋져,infj,i,n,f,j
45,시간나실때 서출구 한번 보세여,estj,e,s,t,j
46,아 이거 봤어요 ㅋㅋ,infj,i,n,f,j
47,여러분 이찬혁 전시회 가실 분 있나요,intj,i,n,t,j
48,헉 너무 가고싶어요,intp,i,n,t,p
49,전시회는 취향이 아니라서 패스할게여,estj,e,s,t,j
50,영상 시작 3초만에 가야겠다는 생각이 들었어요,intp,i,n,t,p
51,영상으로 전부다 관람한느낌입네다,infp,i,n,f,p
52,배고파서 피자시켰어요,enfp,e,n,f,p
54,청피 맛있어요 개인적으로는 피자헛 도미노보다 좋아해요ㅎㅎ,entp,e,n,t,p
55,두둥-- 두둥-- ㅈ..저..저기...!! XX이에요 !!,enfp,e,n,f,p
56,근데 무슨일이든 다 힘들져.. ,estp,e,s,t,p
57,직장이 다 그렇차나여 ,estp,e,s,t,p
58,사장도 힘들죠.. 후,entj,e,n,t,j
59,그것도 힘들죠..,estp,e,s,t,p
60,진짜 백수하고싶네여 ,estp,e,s,t,p
61,백수도 힘들어요,entj,e,n,t,j
63,쉬운게 없네요... 후,entj,e,n,t,j
64,오랜만에 일이 여유가 좀 있네요 헤헤,entj,e,n,t,j
65,진짜 인생 편하게 살려면 젊을때 열심히 해야죠,estp,e,s,t,p
66,근데 보통 젊을 때 열심히 산 사람들은 늙어서도 열심히 살.. 더라고요,entj,e,n,t,j
67,아 슬픕니다..,estp,e,s,t,p
68,어제까지 바쁘셨죠,entj,e,n,t,j
69,늙어서 편하게 사려고 무난하게 하는게 공무원 아닌가요,istp,i,s,t,p
70,한국 공무원 복지가 나락가고 있어서 그렇지만요...,istp,i,s,t,p
71,친구보니까 공노비도 쉽지 않던데요,entj,e,n,t,j
72,일요일도 나와서 하고 끝없이 일만해요..,entj,e,n,t,j
73,제 친그는 검찰청에서 일하는데 때려치고 싶데요..,estp,e,s,t,p
74,검찰 사칭 장난전화가 많이 와서 그런가요?,entj,e,n,t,j
75,전 운명을 믿긴 하는데 느껴본 적은 없어요,intj,i,n,t,j
76,너가 봤을 때 나 뚱뚱한거 같냐?,esfp,e,s,f,p
77,너 정도면 나쁘지 않은데 왜?,enfj,e,n,f,j
78,내 주변에 5명의 뚱뚱한 사람을 알고 있는데 너는 그중에 4인분을 담당하고 있지,estp,e,s,t,p
79,얘들아 너네들은 꼭 해야하는데 귀찮은 일이 있으면 어떻게 해,enfp,e,n,f,p
80,귀찮아도 할 건 해야지,istj,i,s,t,j
81,일단 그 일을 왜 하는지가 더 중요하지 않음?,intj,i,n,t,j
82,그거에 따라 하고 안하고가 결정 날 듯,intj,i,n,t,j
86,저녁이라 대화가 많이 없겠죠??,istj,i,s,t,j
87,네 그래도 낮에는 사람들 많으니깐 대화 많이 하실거예요,isfj,i,s,f,j
88,나 열쇠 잃어버렸는데 어떡하지,esfp,e,s,f,p
90,집 열쇠가 없으면 오늘 밤에 집에서 잠 못잘테고 잠 못자면 다음주 시험 잘 못볼테고,enfp,e,n,f,p
91,시험 못보면 원하는 대학 못가고 원하는 대학 못가면 좋은 직장 못갈텐데 어떡하냐 ㅠㅠ,enfp,e,n,f,p
92,아 뒷주머니에 있었음 ㅋㅋ 긴 글 쓰느라 고생했다,esfp,e,s,f,p
93,오 다들 안 주무시고 머 하고 계세요??,enfj,e,n,f,j
94,지금 프랑스에 있어욤,entp,e,n,t,p
96,님 독일에 계신다고 하지않으셨나요,enfj,e,n,f,j
97,독일에서 프랑스로 갔어요??,enfj,e,n,f,j
98,세계질주하셔용!?,estp,e,s,t,p
100,친절하게 알려 드렸는데 절 거부하셨군요 당신은 나뽰습니닼,enfj,e,n,f,j
104,너무 톡이 많이와서 다 못읽을땐 읽기포기라고 하는고에여,enfp,e,n,f,p
105,ㅅㅂㅍ ㅇㅍ 이런것처럼여의!,enfp,e,n,f,p
106,이건 뭐예요? ,enfj,e,n,f,j
107,삼백플 읽포라고 하는건데,estp,e,s,t,p
109,300+ 일때 쓰는거에요,enfp,e,n,f,p
110,앗 늩었다ㅋㅋㅋ,estp,e,s,t,p
111,ㅠ 나 나이 먹겄나바 나땐 이런거 없었는데  즐인말이 있긴했지만... ,enfp,e,n,f,p
113,한수 배워 갑니다 ,enfj,e,n,f,j
114,후후 출발해 볼까나? ,enfj,e,n,f,j
118,룸메들은 방금 바보만 성적표 다 통과했다고 비웃었어요...,infp,i,n,f,p
119,그들은 스스로 낙제하고도 남을 비웃어요...,infp,i,n,f,p
120,그들은 내가 러시아어 못 알아듣는 것을 알고 영어로 나를 비웃었어요... ,infp,i,n,f,p
121,다들 좋은 아침입니다,infj,i,n,f,j
123,저 오늘 의자사야해요,esfp,e,s,f,p
124,전 그냥 집에서 띵가띵가 놀거같아여><,istj,i,s,t,j
126,노는것도 실력인 세상이 되버려서,isfj,i,s,f,j
127,띵가띵가 놀더라도 목적을 정하고 노는걸 추천드려용,isfj,i,s,f,j
128,그냥 숙제나 해야져....,istj,i,s,t,j
129,"엄... 티비보고,자고,먹고......? ㅋㅎㅋㅎ",istj,i,s,t,j
130,노는것도 실력이져...,istj,i,s,t,j
131,혹시... ​너무 스트레스 받지 말고 어제 일 때문에 실망하거나 서운해 하지 말고 모두 다 잘될 거라고 믿으세요 ​음... 사실 지금 아직 안 잤어요~ㅎㅎㅎ,infp,i,n,f,p
132,지금 4시08분... ㅎㅎㅎ,infp,i,n,f,p
133,? 지금 10시 9분인데...?,istj,i,s,t,j
134,모스크바에서 유학해요,infp,i,n,f,p
135,여긴 2시13분요 매~직 모어먼트~,esfp,e,s,f,p
136,여기는10시14분이에요~,isfj,i,s,f,j
137,오 저랑 같네여,istj,i,s,t,j
138,네 제주도에있어요,isfj,i,s,f,j
140,넘나 심심한것..,istp,i,s,t,p
146,특히 저 고기가..,esfp,e,s,f,p
148,헐 우리는뷔페옴,isfj,i,s,f,j
149,부러워여 ㅜㅜ 전 공부,istj,i,s,t,j
152,엄청 맛있어보이네요,enfp,e,n,f,p
155,왤케 잘나와요 양 짱많네여..,esfp,e,s,f,p
156,넌 대학 정시로 가 난 수시로 너 생각 할게,enfp,e,n,f,p
157,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 재밌다 ㅎㅎ,infj,i,n,f,j
158,지나가다 나방을 잡았어 너에게 빠졌나방,enfp,e,n,f,p
159,ㅋㅋㅋㅋㅋㅋ 갑자기 왜 그런거 찾아보고 있어 귀여워,infj,i,n,f,j
160,아무거나 가르킨게 아니라 돌탑이 어딨는데,estp,e,s,t,p
162,저건 돌탑이 아니라 돌 무더기야,estp,e,s,t,p
163,아니야 누가 소원빌려고,estj,e,s,t,j
164,자기 오늘 빼빼로 데이네,entp,e,n,t,p
167,근데 그런거 다 상술이야,istp,i,s,t,p
168,ㅇㅈ 커플이 이야기하면,entp,e,n,t,p
171,개피곤 12시에 자서 7시에 일어남,isfp,i,s,f,p
173,ㅋㅋㅋㅋㅋㅋㅋㅋ,isfp,i,s,f,p
174,난 6시 반에 일어났어,istp,i,s,t,p
175,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 킹받네 이런..,isfp,i,s,f,p
176,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ.,istp,i,s,t,p
178,이거 제보할까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,istp,i,s,t,p
179,짜증나 너 ㅋㅋㅋㅋㅋㅋㅋ,isfp,i,s,f,p
180,웅 할게 고마워,istp,i,s,t,p
181,웅..ㅋㅋㅋㅋㅋㅋ 존나 웃기네,isfp,i,s,f,p
182,나 너무 힘이 없어,isfp,i,s,f,p
183,온몸에 근육통 때문에,isfp,i,s,f,p
185,하루를 자지 말고 맞추면 되지 않을까,enfp,e,n,f,p
186,미친 생각 박수,intp,i,n,t,p
187,야아아 박수 받으려고 한 생각은 아닌데에~,enfp,e,n,f,p
188,감사합니다 감사합니다~ 다 여러분 덕분입니다~,enfp,e,n,f,p
189,ㅋㅋㅋㅋㅋㅋㅋㅋ,intp,i,n,t,p
190,ㅋㅋㅋㅋㅋㅋㅋㅋ,enfp,e,n,f,p
191,나 언니 집 앞이야,isfp,i,s,f,p
192,어딘지는 알아? 집 주소 모르잖아,entp,e,n,t,p
195,걍 혼자가 최고야,intp,i,n,t,p
196,그래도 심심하자노,enfp,e,n,f,p
197,휴대폰과 침대만 있다면 심심하지 않아요,intp,i,n,t,p
201,hoxy.. 내가 저러니..?,esfp,e,s,f,p
203,이게 어딜봐서 나야아,esfp,e,s,f,p
204,애교 무슨 일이야,infp,i,n,f,p
205,애교 아님 나야 임데 아 가 쳐졌길래 지우기 귀찮아서 그냥 보내게 된거임,esfp,e,s,f,p
210,맨날 이랬으니까 ㅋㅋㅋㅋㅋㅋㅎㅎㅋ,enfp,e,n,f,p
212,아니 어케 집중이 돼??,enfp,e,n,f,p
213,난 망하는디 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,enfj,e,n,f,j
214,몰아치기 함 무서웡,enfj,e,n,f,j
215,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,enfj,e,n,f,j
216,난 그럼 셤 공부하러.. 내일 시험이다..,enfj,e,n,f,j
218,잠만 설마 벌써부터 공부를??,enfp,e,n,f,p
219,나 어제 시험본다고 하루종일 소문 내놓고 공부 ㄹㅇ 오늘 시험보기 1시간전 시작함,enfp,e,n,f,p
220,아까부터 했는데 지금 밥 먹어서 잠깐 쉬는중 ㅋㅋㅋㅋㅋ,enfj,e,n,f,j
221,어제 책펴놓고 책상에서 핸드폰...,enfp,e,n,f,p
222,나 오늘 시험보기전에 단어 허겁지겁 외우고 봤는디,enfp,e,n,f,p
226,근데 나 낼 시험인데 ㅋㅋㅋㅋ,enfj,e,n,f,j
230,그럼 모두모두 화이팅!!,enfj,e,n,f,j
232,감정이요? 할말이 많네요,isfp,i,s,f,p
233,할 말이 없습니다. 다음주제 가져오시죠,entp,e,n,t,p
234,일단 감정이란 것은 인간의 마음이 어쩌구저쩌구...,isfp,i,s,f,p
235,머라노 감정은 효율성의 적이다,entp,e,n,t,p
236,효율성의 적? 그럴 수 있지 하지만 우리가 일상을 생활해 가는데 있어 반드시 지녀야 할 하나의 매개체라고 할 수 있지,isfp,i,s,f,p
239,어디가서 뭐할지는 대충 정할 수 있잖아,infj,i,n,f,j
240,오사카 가서 놀기,entp,e,n,t,p
241,그딴거 말고 어디어디를 가고 그런거 말야,infj,i,n,f,j
242,암튼 오늘 자기전에 플랜을 다 짜봐야겠어,infj,i,n,f,j
243,역시 제이 놈들 목적지만 정하면 발 닿는대로 가면 될 것을,entp,e,n,t,p
244,이래서 피 들이란.. 대책이 없어 아주,infj,i,n,f,j
245,사람이 계획에 맞춰 살면 인생이 무슨 재미니,entp,e,n,t,p
247,그러니까 니 맘대로 살아야지,entp,e,n,t,p
248,낼 당장 뒤질지도 모르니까,entp,e,n,t,p
250,격하게 해줘.. 나의 기쁨에 동조해줘...,entp,e,n,t,p
251,응응!! 시발응응!!,infj,i,n,f,j
252,시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭐이런 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,entp,e,n,t,p
253,기빨린다 진짜...,infj,i,n,f,j
254,내가 친구라서 행복하지??,entp,e,n,t,p
256,복권 사야되는데 쓰앙,isfj,i,s,f,j
257,토요일에 해봐야지,isfj,i,s,f,j
259,나 되면 얼마줄거야?,enfj,e,n,f,j
260,S는 되기전에 그딴거 생각 안 해,isfj,i,s,f,j
261,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,enfj,e,n,f,j
262,낼 시험인데 지금 한장 반 남았어요,enfj,e,n,f,j
264,"저희 학교 오늘 한라봉주스, 콘크러스트피자, 한우떡국, 후라카케 주먹밥, 깍두기 나와써용",estp,e,s,t,p
265,우리급식보다 잘나왔내 우리학교급식은 채식밖게 안나왔는데...,infp,i,n,f,p
266,저는 계란후라이 김자반..끝,istp,i,s,t,p
267,헥헥 오늘 실수함 ㅠㅠㅠ,infp,i,n,f,p
268,실수해서 혼남??!!!,esfj,e,s,f,j
269,오 입사 첫실수 ㅊㅋ!,entj,e,n,t,j
270,들킴? 안들켰으면 괜찮아,isfp,i,s,f,p
271,봐봐 너도 내가 있어야 해,isfp,i,s,f,p
272,나도 마찬가지고,isfp,i,s,f,p
273,아니 너는 내가 필요해,isfp,i,s,f,p
274,나도 너가 필요해,isfp,i,s,f,p
276,그런 말 한적 없는데,intp,i,n,t,p
277,연락이 중요한게 아닌거 같은데 중요한가?,intp,i,n,t,p
278,"아,, 응,,,",intp,i,n,t,p
279,그런 거 왜 해...,istp,i,s,t,p
280,이새끼 또 발동거네,intj,i,n,t,j
281,입병은 다 나아써?,intj,i,n,t,j
282,그건 사랑이 아니라 약이야,intj,i,n,t,j
283,언니가 준 사랑 바르고 나았지요,enfp,e,n,f,p
284,약의 껍데기를 뒤집어 쓴 사랑,enfp,e,n,f,p
285,룸메수업에 너무 많이 결석해서 성적표에 낙제점을 받았어요 그는 내 성적표 모두 우수한 것을 보고 불공평하다고 느꼈고 우리 학교 느슨하다고 생각해요,infp,i,n,f,p
286,근데 전 결근 기록이 전혀 없어요... 숙제도 꼬박꼬박 잘 마쳤어요...,infp,i,n,f,p
287,그렇다면 룸메이트 분이 잘못한거네요 러브님 너무 속상해 하지 마세요,infj,i,n,f,j
289,전 샤워하러 고고띵,infp,i,n,f,p
290,근데 나 꼭 신기한게 애들을 만나면 꼭 대화주제가 인간성 대인관계 자아 세상살이 이런거에 대한 고찰로 이어지는 경우가 잦음 인프제 특인가,infj,i,n,f,j
291,그거 그냥 인생이 좆같아서 아닐까,istp,i,s,t,p
294,몇 분 남았어?,infj,i,n,f,j
296,아니 혼자 오면 안 되니?,infj,i,n,f,j
297,416타고 가려고,intp,i,n,t,p
298,4분.. 내려오게...???,intp,i,n,t,p
300,쟈기 꽃놀이 다녀와쏘??,enfp,e,n,f,p
301,여기 꽃 넘 이뿌게 폈는데 오늘 비와서 싹다 떨어졌지 뭐냐,enfp,e,n,f,p
302,쒸바.. 현명한 베이비,enfp,e,n,f,p
303,비올 줄 알고 예보 보고 그 하루전에 갔다옴,intj,i,n,t,j
305,그래라 합리화 하면 가치는 있지,intp,i,n,t,p
307,별 보러 가고 싶다,infp,i,n,f,p
309,수업 몇시에 끝나?,istj,i,s,t,j
310,고기 구울건데 늦네?,istj,i,s,t,j
311,냉면 할꺼라 시간 맞춰야해,istj,i,s,t,j
312,난 지갑이랑 내 몸매랑 바꾸고 싶어 그럼 뼈만 남겠지,entp,e,n,t,p
313,ㅋㅋㅋㅋㅋㅋㅋㅋ 발상 찐 웃기네,infp,i,n,f,p
314,얼른 자 귀신 꿈꿔라 ㅋ,istp,i,s,t,p
315,? 나는 그런 꿈 안꿔,esfj,e,s,f,j
316,아이 하지 말라고 나 잔다,esfj,e,s,f,j
318,난 이미 자는데,istp,i,s,t,p
319,와앙 내일 축제에요!!,esfp,e,s,f,p
320,그다음은 합창대회라 논다용 꺄아아 너무조타아아,esfp,e,s,f,p
324,아!! 너무 간단하자나 우씨이이이!!,esfp,e,s,f,p
325,나중에 길게 보내놓으삽 흥!!,esfp,e,s,f,p
327,과제가 다시 생겨났어 으..,isfj,i,s,f,j
328,지겨워 ㅠㅠㅠㅠㅠ,isfj,i,s,f,j
329,오늘까지 강의 들어야징,isfj,i,s,f,j
333,표정 좀 집어 치워봐,estj,e,s,t,j
334,수요일에 어케 출발 할겨,estp,e,s,t,p
335,화욜에 올때 로또좀 ㅋ,estp,e,s,t,p
336,나 화욜 오후에 집갈겨,istp,i,s,t,p
337,"엥? 우리 숙제 있었어.,.?",infp,i,n,f,p
338,헉~ 과제 안했어? 내가 도와줄게,isfj,i,s,f,j
339,ㅋㅋㅋㅋㅋ 나도 안함 ^^,istp,i,s,t,p
341,어우 깔끔하시네요,infj,i,n,f,j
342,쇼핑이 끝났네여,enfj,e,n,f,j
343,훼밀리마트는 저 주변에 없어서 머가 맛있는지 모루겠네영,infj,i,n,f,j
344,머하구 있으셨어용,infj,i,n,f,j
345,ㅋㅋㅋㅋㅋㅎㅎ..극과 극 ㅠㅠ,infj,i,n,f,j
346,엇 저 노래 들으면서 게임 하구 왔어요,enfp,e,n,f,p
347,님은 머하구 계셨나요??,enfp,e,n,f,p
348,ㅋㅋㅋㅎㅎ..저는 사무실 컴퓨터 앞에 앉아서 PC카톡 중이에용 ㅎㅎ..,infj,i,n,f,j
349,저는 1월달에 서울 한번 더 가려고 지금 생각 중입니당,entp,e,n,t,p
350,빨리 퇴근하구 싶네용 ㅎㅎ,infj,i,n,f,j
351,혼틈 노래추천이요!,intj,i,n,t,j
352,구냥 오랜만에 홈런볼 샀어여,estp,e,s,t,p
353,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저와 같은 컴퓨터 앞.. 다른 느낌이네요...,entp,e,n,t,p
354,그거 반 정도 먹다가 도저히 못 먹겠어서 버렸어요,intp,i,n,t,p
355,??왜 버려요 ㅠㅠ,isfp,i,s,f,p
356,꼭 우유가 아닌 커피랑 드시는걸 추천드려요,intp,i,n,t,p
357,속이 엄청 느끼하더라구요,intp,i,n,t,p
358,단거 못 먹는구나…!!!,esfp,e,s,f,p
359,저는 혼자는 다 못 먹고 반 나눠 먹거나 3분의 1로 나눠야 해요,isfp,i,s,f,p
360,쿠앤크는 아직 안 먹어봤네요,isfp,i,s,f,p
361,"저 마카롱도 많이 먹으면 1개에요,,",istp,i,s,t,p
362,새로 나왔어여 ?? 홀...,isfj,i,s,f,j
363,저는 요즘 옥수수크림빵 맛에 빠져있는데,infj,i,n,f,j
366,대박 .... !!!!!!!!!!!!!,infj,i,n,f,j
367,근데 탕후루가 3~4천 원인 거 생각하면,isfp,i,s,f,p
368,탕후루 너무 비싸요,istp,i,s,t,p
369,2500원만해도 충분할거 같은데,istp,i,s,t,p
370,저도 사고싶은거 겨우 참았어여ㅎㅎ,intj,i,n,t,j
371,특히 블루베리는 진짜 너무한 거 같아요,isfp,i,s,f,p
374,화장실이 마려워요,intj,i,n,t,j
375,수면안대도 없고 화장실도 없어요,intj,i,n,t,j
377,조금씩싸서 말려요,istp,i,s,t,p
378,진짜 열심히 먹었는데 반 밖에 못 먹었어요,intp,i,n,t,p
379,저 f같은t에요,istp,i,s,t,p
380,ㅜㅜ 왜 지지에여 !!,infj,i,n,f,j
381,F라면 그런 감성 없어~!!!!,intj,i,n,t,j
384,화장실이 없나요,estp,e,s,t,p
385,다 맛있더라구요 전 말차가 젤 조아요,isfp,i,s,f,p
386,다 먹진 못했지만..동생이랑 나눠먹었졍 ㅎㅎ,infj,i,n,f,j
387,무슨일이에요 이게,istp,i,s,t,p
389,이게 무슨 일이야 이렇게 좋은 날에~ 세상 행복했졍 ㅎㅎ,infj,i,n,f,j
390,아주 달콤하고 만족스러운 시간이었어여,infj,i,n,f,j
391,아니 지금 딱 3시간 더가야된다구요,intj,i,n,t,j
392,운동은 한번 안가니까 정말루 가기가 싫네영,infj,i,n,f,j
393,이게 무슨 f얔ㅋㅋㅋㅋㅋ,intj,i,n,t,j
394,배드민턴 치고싶어요,intp,i,n,t,p
395,왜 제마음 공감못해주세요?,istp,i,s,t,p
397,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,istp,i,s,t,p
398,맞아요 운동은 다시 가기가 힘들어요,istp,i,s,t,p
399,겨울이라 뭔가 더 나가기 싫네여,intj,i,n,t,j
400,누워있는게 최고에요,istp,i,s,t,p
401,이 소리들으면 오줌 잘 참을수있죠ㅋ,istp,i,s,t,p
402,이제 아부지랑 장보러 갈 거에요,isfp,i,s,f,p
403,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저도 귀찮네오,,",istp,i,s,t,p
404,저녁 거리랑 이것저것 살 거 같아요,isfp,i,s,f,p
405,???: 아니 얘가 저녁거리는 안 사고 과자만 골랐어,isfp,i,s,f,p
406,오뚜기 컵피자 드셔보셨나요??,istp,i,s,t,p
407,"드셔보세여!! 눈이 뜨입니다,ㅡㅡ",istp,i,s,t,p
408,비엑스에 아주 싸게팔쥬,estj,e,s,t,j
409,절대 헷갈리지 않고 님 t죠? 시전했을듯,intj,i,n,t,j
410,송강 진짜 잘생겼네요,enfj,e,n,f,j
411,저는 아마 못 참고 스피커 찢을거같은데요...,entp,e,n,t,p
412,휴우 다행이네여,infj,i,n,f,j
414,오전 6시 50분 출근이였습니다,entp,e,n,t,p
416,빨리 퇴근하세요...,intp,i,n,t,p
417,이미 퇴근하고 기숙사 왔어요,entp,e,n,t,p
418,오늘내일 시켜드십쇼,istp,i,s,t,p
419,아 제발려 인상 다메요...,entp,e,n,t,p
421,진짜 제 월급빼고 다오르네요,isfj,i,s,f,j
423,뿌링클 순살 가격도 같이 오르면 24000원이네요..?,intp,i,n,t,p
424,근데 순살은 포기 몬해,entp,e,n,t,p
425,뿌링클은 순살로 먹어야하는뎅.. ㅜㅜㅜ,intp,i,n,t,p
427,BHC 어제 8시 뉴스에 나오던데.. 본사에서 멋대로 가맹점 계약해지해서 3억5천 과징금 물었다고 하는데 너무 솜방망이 아닌가요,intp,i,n,t,p
428,오늘 뿌링클먹을려했는데 취소해야겠근요,esfj,e,s,f,j
429,뿌링클보단 맛초킹이...,estp,e,s,t,p
430,흠 어쩔 수 없네요,istp,i,s,t,p
431,오늘 bhc 시켜먹어야겠네요,istp,i,s,t,p
432,뿌링클 요구르트 소스가 진짜 맛있어요,intp,i,n,t,p
433,오늘 내일 뿌링클시킵니다,esfj,e,s,f,j
434,29일부터 인상이래요,isfp,i,s,f,p
435,집 앞에 bhc있는데,estp,e,s,t,p
436,아 오늘 집바벅으려 했는데 할 수없네요,isfj,i,s,f,j
437,네넹!! 오랜만에 놀았네요ㅎㅎ 저 나중에 부산 놀러가면 미리 연락드릴게여,isfj,i,s,f,j
438,헉 네오님 저도 보고싶어요,isfj,i,s,f,j
439,어 저 달력받었어요 5마넌이상 사면 준데요 ,enfj,e,n,f,j
440,저도 1시간이면 갈거에요,esfj,e,s,f,j
441,40km면 갈만한데요,istj,i,s,t,j
442,아 고터.. 멉니다요ㅜ,intj,i,n,t,j
443,귀찮으니깐 택시를 타고 가겠습니다,entj,e,n,t,j
444,부산투어인가요!,intp,i,n,t,p
445,부산가먄 랍스터텐동꼭 드세용,esfj,e,s,f,j
446,같이 가이드하면 되겠네영용,infj,i,n,f,j
447,학교근처밖에 모르지만 최선을 다해..ㅋㅋㅋㅋㅋ,intp,i,n,t,p
448,"샤로수길 한 번 가야하나,,",intp,i,n,t,p
449,갑자기 텐동 먹고싶네요,intp,i,n,t,p
450,저 동네밖에 몰르지만.. ! ,infj,i,n,f,j
451,맛집이 많은 곳이에요,intp,i,n,t,p
452,민락더마켓가시면 푸딩드실수있어요!,esfj,e,s,f,j
453,1월달 중에 서울 한번 더 놀러갈거같긴한데,entp,e,n,t,p
454,앗 마자요 아이폰은 없더라구요,isfj,i,s,f,j
455,pc카톡은 가능하지 않아요?,intp,i,n,t,p
456,전 찾아주는 사람이 없어서 키알을 안했어요,istp,i,s,t,p
457,빨리 결과가 나왔으면 좋겠네영,infj,i,n,f,j
458,상대방 성향 찾아서 올리는것도 도움되고 재밌네요,istp,i,s,t,p
459,bhc치킨인상한데,istp,i,s,t,p
460,집중하기 좋으면서 별 생각 없이 들어도 괜찮은,estp,e,s,t,p
461,좋네요 하지만 저랑은 잘..,estj,e,s,t,j
462,표정 풀어요... 전봇대랑 움뫄뫄보단 낫잖아요...,entp,e,n,t,p
463,걱정에 힘입어 고개만 살짝들어보겠습니다,istp,i,s,t,p
464,이 노래 들어보고 피드백 주세요. ,intp,i,n,t,p
465,앜ㅋㅋ궁금한데 아쉽군영 ,intj,i,n,t,j
466,물가만 치솟네요...,entp,e,n,t,p
467,뿌링클 가격 오르면 손절 각인가....,entp,e,n,t,p
468,어쩔 수 옶네요 푸라닭으로 갈아 탑니다,istj,i,s,t,j
469,월급은 안오르고,estp,e,s,t,p
470,하찮고 귀엽고 그러네여,infj,i,n,f,j
471,굉장히 차분하시더라고요,istp,i,s,t,p
